 [File Information]      		 [Data Line]	36
Measured Date	2024/05/28 095034
ID		Version	11.0
Name	oceane_12	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     814
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   60.98	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.004028	   -0.003852	    0.000175	   -0.003768	   -0.008880	   -0.012648	    0.025168	   -0.002681	    0.022486	    0.030999	    0.023988	    0.054987	   -0.003247	    0.006736	    0.003489	    0.011386	    0.011334	    0.022719	    0.019103	    0.015318	    0.034421	    0.036936	    0.029136	    0.066072	   -0.016403	   -0.007771	   -0.024174	   -0.009785	   -0.001877	   -0.011663	    0.017793	   -0.008959	    0.008834	   -0.002129	   -0.008227	   -0.010356	   -0.000370	    0.000697	    0.000326	    0.005630	   -0.000251	    0.005379	    0.059349	    0.019464	    0.078813	    0.014600	    0.016387	    0.030987	    0.000221	   -0.000260	   -0.000038	   -0.005668	   -0.004092	   -0.009760	    0.014044	    0.006010	    0.020054	    0.007841	   -0.001099	    0.006742	   -0.007461	   -0.005703	   -0.013164	    0.031299	    0.030038	    0.061337
     0.150	0	0	    0	    0.009357	   -0.000417	    0.008940	    0.000841	   -0.003074	   -0.002233	    0.063629	    0.049277	    0.112906	    0.059548	    0.100344	    0.159892	    0.011692	    0.046693	    0.058385	   -0.003038	    0.001601	   -0.001437	    0.049465	    0.058690	    0.108154	    0.037871	    0.039176	    0.077047	   -0.023167	   -0.024141	   -0.047308	   -0.023698	   -0.025385	   -0.049083	    0.041010	    0.036013	    0.077023	   -0.001014	    0.026657	    0.025643	   -0.019185	   -0.019962	   -0.039147	    0.027355	    0.020194	    0.047549	    0.057037	    0.034396	    0.091433	    0.018593	    0.037048	    0.055641	   -0.000287	   -0.005809	   -0.006096	   -0.008392	   -0.019899	   -0.028290	    0.017854	    0.008537	    0.026391	    0.007436	   -0.006490	    0.000947	   -0.012470	   -0.015734	   -0.028204	    0.054550	    0.079212	    0.133762
     0.225	0	0	    0	   -0.000921	    0.007087	    0.006166	    0.002297	    0.002642	    0.004938	    0.079744	    0.089616	    0.169360	    0.086929	    0.150468	    0.237397	    0.017500	    0.078525	    0.096025	   -0.003381	    0.008147	    0.004766	    0.052068	    0.089629	    0.141697	    0.038842	    0.045970	    0.084813	   -0.021845	   -0.024663	   -0.046509	   -0.023984	   -0.027982	   -0.051966	    0.053781	    0.061128	    0.114909	    0.005067	    0.053069	    0.058136	   -0.015855	   -0.034122	   -0.049977	    0.029578	    0.038302	    0.067881	    0.056540	    0.056560	    0.113099	    0.023227	    0.054139	    0.077367	   -0.000584	   -0.004039	   -0.004623	   -0.008334	   -0.025634	   -0.033968	    0.016413	    0.007335	    0.023748	    0.010385	   -0.011133	   -0.000749	   -0.007204	   -0.015417	   -0.022620	    0.063947	    0.107867	    0.171814
     0.300	0	0	    0	   -0.002041	    0.007916	    0.005874	    0.001536	    0.006543	    0.008079	    0.094097	    0.115517	    0.209613	    0.105667	    0.190471	    0.296139	    0.028666	    0.099915	    0.128581	   -0.001570	    0.013202	    0.011633	    0.051964	    0.099349	    0.151313	    0.036085	    0.051916	    0.088001	   -0.026974	   -0.024016	   -0.050990	   -0.023929	   -0.027990	   -0.051919	    0.063784	    0.080880	    0.144664	    0.015099	    0.069355	    0.084454	   -0.021260	   -0.035822	   -0.057082	    0.034797	    0.035429	    0.070226	    0.057692	    0.061978	    0.119671	    0.022255	    0.063110	    0.085366	   -0.002836	   -0.004412	   -0.007249	   -0.009257	   -0.027196	   -0.036454	    0.013214	    0.005527	    0.018741	    0.011043	   -0.011684	   -0.000641	   -0.008874	   -0.012898	   -0.021772	    0.072222	    0.122107	    0.194329
     0.375	0	0	    0	   -0.004549	    0.009283	    0.004734	    0.004391	    0.006847	    0.011238	    0.104520	    0.130431	    0.234951	    0.114328	    0.210278	    0.324607	    0.034557	    0.100394	    0.134952	    0.004454	    0.010514	    0.014968	    0.063741	    0.090071	    0.153812	    0.031370	    0.051521	    0.082891	   -0.027412	   -0.029957	   -0.057369	   -0.022945	   -0.028509	   -0.051454	    0.067718	    0.093293	    0.161011	    0.020502	    0.071274	    0.091776	   -0.019941	   -0.033147	   -0.053089	    0.035498	    0.037912	    0.073410	    0.061871	    0.060197	    0.122067	    0.023336	    0.064108	    0.087445	   -0.005576	   -0.005532	   -0.011108	   -0.011805	   -0.027596	   -0.039401	    0.010759	    0.003299	    0.014058	    0.011304	   -0.010853	    0.000451	   -0.007276	   -0.015076	   -0.022352	    0.075664	    0.133073	    0.208737
     0.450	0	0	    0	    0.003604	   -0.002179	    0.001425	    0.004183	    0.008038	    0.012221	    0.105590	    0.140274	    0.245864	    0.119363	    0.209374	    0.328737	    0.039921	    0.092956	    0.132878	    0.009200	    0.004590	    0.013790	    0.067598	    0.080428	    0.148027	    0.033320	    0.044211	    0.077532	   -0.029720	   -0.030249	   -0.059968	   -0.022769	   -0.027762	   -0.050532	    0.068812	    0.099510	    0.168322	    0.022442	    0.066828	    0.089270	   -0.020469	   -0.031575	   -0.052044	    0.033536	    0.038101	    0.071637	    0.058136	    0.060665	    0.118802	    0.020713	    0.066504	    0.087216	   -0.006011	   -0.007885	   -0.013896	   -0.013510	   -0.028570	   -0.042080	    0.007725	    0.002755	    0.010481	    0.010950	   -0.010169	    0.000781	   -0.008887	   -0.013298	   -0.022185	    0.067130	    0.137528	    0.204658
     0.525	0	0	    0	   -0.004527	    0.003280	   -0.001246	    0.001225	    0.011013	    0.012237	    0.103821	    0.145257	    0.249078	    0.122796	    0.211018	    0.333814	    0.037831	    0.097385	    0.135216	   -0.005072	    0.021983	    0.016911	    0.043582	    0.105529	    0.149111	    0.029776	    0.044608	    0.074384	   -0.033157	   -0.030411	   -0.063568	   -0.023024	   -0.027069	   -0.050092	    0.067276	    0.101198	    0.168474	    0.022937	    0.066349	    0.089285	   -0.019815	   -0.030345	   -0.050160	    0.029770	    0.040282	    0.070051	    0.054127	    0.062951	    0.117078	    0.017805	    0.066512	    0.084317	   -0.007977	   -0.008779	   -0.016756	   -0.016245	   -0.028354	   -0.044599	    0.005371	    0.002372	    0.007743	    0.010077	   -0.009614	    0.000463	   -0.012129	   -0.010768	   -0.022897	    0.071786	    0.133180	    0.204966
     0.600	0	0	    0	    0.000797	    0.003128	    0.003926	    0.008743	    0.005531	    0.014274	    0.112536	    0.142448	    0.254984	    0.122240	    0.221814	    0.344054	    0.042216	    0.099055	    0.141270	    0.012523	    0.006845	    0.019368	    0.065696	    0.090808	    0.156504	    0.034083	    0.044693	    0.078776	   -0.032638	   -0.034053	   -0.066691	   -0.020540	   -0.026514	   -0.047054	    0.071161	    0.100962	    0.172123	    0.026795	    0.069426	    0.096220	   -0.017615	   -0.029879	   -0.047494	    0.038149	    0.034041	    0.072190	    0.063299	    0.063066	    0.126365	    0.021291	    0.064078	    0.085369	   -0.004957	   -0.009653	   -0.014610	   -0.010995	   -0.030222	   -0.041217	    0.008295	    0.000606	    0.008901	    0.012464	   -0.010477	    0.001986	   -0.006139	   -0.014611	   -0.020750	    0.080844	    0.131638	    0.212481
