         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.675	0	0	    0	   -0.002768	    0.007375	    0.004608	    0.015301	    0.008765	    0.024066	    0.007836	    0.002076	    0.009912	    0.005555	   -0.000328	    0.005226	    0.003975	   -0.000812	    0.003163	    0.001126	    0.001601	    0.002727	   -0.004746	    0.001799	   -0.002947	   -0.001651	   -0.021929	   -0.023581	    0.005966	    0.002479	    0.008446	    0.005861	   -0.002412	    0.003449	    0.004496	   -0.000173	    0.004323	    0.007650	   -0.003346	    0.004304	    0.004885	   -0.001264	    0.003621	   -0.001120	    0.003898	    0.002779	   -0.005749	   -0.003498	   -0.009248	   -0.008469	   -0.004307	   -0.012776	    0.008985	    0.007409	    0.016394	    0.007645	    0.001900	    0.009546	    0.004485	    0.000089	    0.004573	    0.005135	   -0.003127	    0.002008	    0.003233	    0.002419	    0.005651	   -0.002878	   -0.007006	   -0.009884
     0.750	0	0	    0	   -0.004944	    0.007670	    0.002727	    0.014852	    0.008951	    0.023803	    0.008900	    0.001402	    0.010302	    0.005405	    0.000384	    0.005788	    0.002806	    0.000428	    0.003235	    0.002039	    0.001478	    0.003518	   -0.000439	   -0.002286	   -0.002725	   -0.002271	   -0.021415	   -0.023686	    0.005747	    0.002207	    0.007955	    0.006133	   -0.001789	    0.004344	    0.005715	   -0.000608	    0.005107	    0.006561	   -0.002073	    0.004488	    0.005107	   -0.000898	    0.004209	   -0.002493	    0.004071	    0.001578	   -0.005954	   -0.003761	   -0.009716	   -0.008811	   -0.004760	   -0.013572	    0.009185	    0.008012	    0.017197	    0.007753	    0.001826	    0.009579	    0.005064	   -0.000201	    0.004863	    0.004997	   -0.001689	    0.003308	    0.003187	    0.001912	    0.005100	   -0.002005	   -0.007317	   -0.009323
     0.825	0	0	    0	   -0.006369	    0.006819	    0.000450	    0.014363	    0.008117	    0.022480	    0.007531	    0.001821	    0.009353	    0.003591	    0.000034	    0.003626	    0.001761	   -0.000538	    0.001223	    0.001330	    0.000856	    0.002186	   -0.006623	   -0.001389	   -0.008012	   -0.003486	   -0.022312	   -0.025798	    0.003555	    0.000788	    0.004343	    0.005916	   -0.002434	    0.003482	    0.003944	    0.000120	    0.004064	    0.005692	   -0.003375	    0.002317	    0.003733	   -0.000512	    0.003221	   -0.004708	    0.004404	   -0.000304	   -0.010215	   -0.002894	   -0.013109	   -0.009301	   -0.004076	   -0.013377	    0.006023	    0.008756	    0.014779	    0.004922	    0.002093	    0.007016	    0.002342	    0.000384	    0.002725	    0.003497	   -0.001770	    0.001726	    0.002273	    0.000828	    0.003100	   -0.006208	   -0.005596	   -0.011804
     0.900	0	0	    0	   -0.008752	    0.006488	   -0.002264	    0.013316	    0.007203	    0.020519	    0.005753	    0.002204	    0.007957	    0.002292	   -0.000284	    0.002008	    0.000088	   -0.001270	   -0.001182	    0.000014	   -0.000786	   -0.000772	   -0.011022	   -0.000258	   -0.011280	   -0.004864	   -0.021021	   -0.025886	    0.001791	    0.000615	    0.002406	    0.004105	   -0.002716	    0.001389	    0.003039	   -0.000275	    0.002763	    0.002828	   -0.003103	   -0.000275	    0.000534	   -0.000346	    0.000188	   -0.006708	    0.002821	   -0.003887	   -0.010692	   -0.004444	   -0.015136	   -0.010574	   -0.003690	   -0.014264	    0.005568	    0.007536	    0.013104	    0.002861	    0.001156	    0.004017	    0.000672	   -0.001054	   -0.000382	    0.000471	   -0.002021	   -0.001550	   -0.001721	    0.002156	    0.000436	   -0.007269	   -0.006718	   -0.013987
     0.975	0	0	    0	   -0.009832	    0.005601	   -0.004231	    0.012368	    0.006279	    0.018648	    0.005286	    0.000905	    0.006190	    0.000254	   -0.000540	   -0.000287	   -0.001578	   -0.001576	   -0.003154	   -0.001286	   -0.001406	   -0.002692	   -0.009031	   -0.006733	   -0.015763	   -0.007035	   -0.020815	   -0.027851	    0.000756	    0.000297	    0.001054	    0.003497	   -0.003170	    0.000327	    0.001955	   -0.000763	    0.001192	    0.001202	   -0.004202	   -0.003000	   -0.000802	   -0.001551	   -0.002353	   -0.010495	    0.003039	   -0.007457	   -0.011895	   -0.005808	   -0.017703	   -0.012582	   -0.003894	   -0.016476	    0.003273	    0.008871	    0.012144	    0.000519	    0.000536	    0.001055	   -0.002256	   -0.001197	   -0.003453	   -0.001424	   -0.003451	   -0.004875	   -0.004457	    0.002114	   -0.002343	   -0.009187	   -0.007911	   -0.017098
     1.050	0	0	    0	   -0.011694	    0.005498	   -0.006196	    0.011195	    0.005439	    0.016634	    0.003340	    0.000663	    0.004003	   -0.001891	   -0.000362	   -0.002253	   -0.003750	   -0.001738	   -0.005487	   -0.005112	   -0.000302	   -0.005414	   -0.011934	   -0.006858	   -0.018792	   -0.007872	   -0.021000	   -0.028872	   -0.000970	    0.000115	   -0.000855	    0.002214	   -0.003826	   -0.001612	    0.000860	   -0.001188	   -0.000328	   -0.001891	   -0.003366	   -0.005258	   -0.002899	   -0.002639	   -0.005538	   -0.011883	   -0.000182	   -0.012065	   -0.011955	   -0.006969	   -0.018924	   -0.013442	   -0.004301	   -0.017742	    0.004088	    0.006041	    0.010129	   -0.001779	    0.000114	   -0.001666	   -0.004502	   -0.002154	   -0.006656	   -0.004915	   -0.003315	   -0.008229	   -0.006403	    0.001800	   -0.004602	   -0.008989	   -0.009786	   -0.018775
     1.125	0	0	    0	   -0.013179	    0.004987	   -0.008192	    0.009420	    0.005536	    0.014956	    0.001292	    0.000444	    0.001737	   -0.002741	   -0.001660	   -0.004401	   -0.006070	   -0.002167	   -0.008237	   -0.006927	   -0.001482	   -0.008410	   -0.015727	   -0.007047	   -0.022774	   -0.009774	   -0.020357	   -0.030131	   -0.002540	   -0.000276	   -0.002816	   -0.000771	   -0.003493	   -0.004263	   -0.001558	   -0.000827	   -0.002385	   -0.003336	   -0.004993	   -0.008329	   -0.006031	   -0.003061	   -0.009092	   -0.017288	    0.003900	   -0.013388	   -0.014643	   -0.008120	   -0.022762	   -0.014662	   -0.004604	   -0.019266	   -0.000239	    0.006869	    0.006631	   -0.004785	   -0.000493	   -0.005278	   -0.006953	   -0.003278	   -0.010231	   -0.007180	   -0.004388	   -0.011568	   -0.007892	    0.000410	   -0.007482	   -0.011773	   -0.010308	   -0.022081
     1.200	0	0	    0	   -0.015139	    0.005819	   -0.009320	    0.006548	    0.005642	    0.012190	   -0.000516	    0.000041	   -0.000474	   -0.005203	   -0.001459	   -0.006662	   -0.008717	   -0.002093	   -0.010811	   -0.010077	   -0.001359	   -0.011436	   -0.021706	   -0.003087	   -0.024793	   -0.011084	   -0.020764	   -0.031848	   -0.004218	    0.000336	   -0.003883	   -0.002077	   -0.003724	   -0.005801	   -0.002960	   -0.001331	   -0.004292	   -0.006132	   -0.004325	   -0.010457	   -0.008807	   -0.003109	   -0.011916	   -0.021995	    0.003572	   -0.018422	   -0.015598	   -0.008297	   -0.023895	   -0.015965	   -0.004489	   -0.020454	   -0.001663	    0.006891	    0.005228	   -0.007432	   -0.000694	   -0.008126	   -0.009295	   -0.004091	   -0.013385	   -0.008883	   -0.005475	   -0.014358	   -0.011629	    0.001149	   -0.010479	   -0.013164	   -0.009980	   -0.023144
     1.275	0	0	    0	   -0.013462	    0.005080	   -0.008382	    0.006512	    0.004101	    0.010612	   -0.002072	   -0.000583	   -0.002654	   -0.005178	   -0.002991	   -0.008169	   -0.007030	   -0.004256	   -0.011286	   -0.011832	   -0.003130	   -0.014962	   -0.018974	   -0.010795	   -0.029769	   -0.010224	   -0.020654	   -0.030879	   -0.005295	   -0.000695	   -0.005990	   -0.003328	   -0.005055	   -0.008383	   -0.004895	   -0.001663	   -0.006558	   -0.003170	   -0.007463	   -0.010633	   -0.012222	   -0.003968	   -0.016190	   -0.017396	   -0.003493	   -0.020890	   -0.018250	   -0.008857	   -0.027107	   -0.016766	   -0.004333	   -0.021099	   -0.002857	    0.005422	    0.002566	   -0.008846	   -0.001978	   -0.010824	   -0.011776	   -0.005065	   -0.016841	   -0.012342	   -0.006485	   -0.018828	   -0.013702	   -0.000923	   -0.014624	   -0.015759	   -0.010834	   -0.026593
     1.350	0	0	    0	   -0.008635	    0.005911	   -0.002723	    0.012087	    0.002764	    0.014851	    0.002691	   -0.002122	    0.000569	    0.000977	   -0.001528	   -0.000551	   -0.000583	   -0.002109	   -0.002693	   -0.003262	   -0.003828	   -0.007090	   -0.006962	   -0.009261	   -0.016223	   -0.007257	   -0.019893	   -0.027149	   -0.001494	   -0.001169	   -0.002663	    0.004776	   -0.006658	   -0.001882	    0.001039	   -0.002832	   -0.001794	    0.005134	   -0.004895	    0.000239	   -0.003292	   -0.006673	   -0.009965	   -0.009925	    0.001382	   -0.008543	   -0.012822	   -0.009236	   -0.022058	   -0.014422	   -0.004927	   -0.019349	    0.002807	    0.004474	    0.007280	    0.003996	   -0.001735	    0.002261	    0.001384	   -0.005098	   -0.003714	   -0.003828	   -0.007637	   -0.011465	   -0.005723	   -0.001475	   -0.007197	   -0.011065	   -0.010401	   -0.021466
     1.425	0	0	    0	   -0.007837	    0.006894	   -0.000943	    0.015149	    0.004528	    0.019677	    0.005721	   -0.000300	    0.005421	    0.004133	   -0.001225	    0.002907	    0.002614	   -0.001968	    0.000646	   -0.000522	    0.000990	    0.000468	   -0.008421	   -0.001983	   -0.010404	   -0.007196	   -0.019209	   -0.026406	    0.001956	    0.000396	    0.002352	    0.008283	   -0.003862	    0.004421	    0.004009	   -0.001227	    0.002782	    0.008737	   -0.004616	    0.004120	    0.004498	   -0.002654	    0.001844	   -0.007114	    0.005342	   -0.001772	   -0.012897	   -0.008114	   -0.021011	   -0.012837	   -0.003727	   -0.016564	    0.009115	    0.006086	    0.015200	    0.006707	    0.001694	    0.008401	    0.005129	   -0.002012	    0.003117	    0.005812	   -0.005652	    0.000159	    0.002620	    0.000389	    0.003008	   -0.010320	   -0.010091	   -0.020411
     1.500	0	0	    0	   -0.008057	    0.007602	   -0.000455	    0.017419	    0.003884	    0.021303	    0.008039	   -0.000298	    0.007741	    0.004662	   -0.001020	    0.003641	    0.001943	   -0.001166	    0.000777	    0.002742	    0.000352	    0.003094	   -0.003503	   -0.005586	   -0.009089	   -0.007759	   -0.019103	   -0.026862	    0.002148	    0.001064	    0.003213	    0.009848	   -0.003736	    0.006112	    0.004983	   -0.000182	    0.004801	    0.007773	   -0.003606	    0.004167	    0.006225	   -0.001331	    0.004894	   -0.002513	    0.001901	   -0.000612	   -0.014575	   -0.006601	   -0.021176	   -0.013220	   -0.003529	   -0.016749	    0.008226	    0.008449	    0.016675	    0.007768	    0.002262	    0.010030	    0.005734	   -0.001025	    0.004709	    0.005735	   -0.002172	    0.003564	    0.001762	    0.005416	    0.007179	   -0.012842	   -0.007330	   -0.020172
