 [File Information]      		 [Data Line]	36
Measured Date	2024/05/27 100900
ID		Version	11.0
Name	oceane_7	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     840
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   62.93	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.008216	   -0.000276	    0.007940	    0.001423	   -0.001096	    0.000328	    0.003215	   -0.004307	   -0.001092	   -0.000714	   -0.001325	   -0.002038	   -0.000203	    0.000285	    0.000082	   -0.000007	    0.001891	    0.001884	    0.012092	   -0.011726	    0.000366	   -0.000172	   -0.001680	   -0.001851	   -0.005288	    0.003167	   -0.002121	   -0.001018	   -0.000939	   -0.001957	    0.001049	   -0.001862	   -0.000813	   -0.001654	   -0.000526	   -0.002180	   -0.006694	    0.004654	   -0.002040	   -0.001701	   -0.000931	   -0.002632	    0.007916	   -0.007985	   -0.000069	   -0.004874	    0.000881	   -0.003993	   -0.001757	   -0.000402	   -0.002159	   -0.001596	   -0.000275	   -0.001871	   -0.001121	   -0.000293	   -0.001414	   -0.002900	   -0.000758	   -0.003658	   -0.003089	   -0.000043	   -0.003132	    0.007645	   -0.010824	   -0.003179
     0.150	0	0	    0	    0.011534	   -0.006323	    0.005211	   -0.002163	    0.001510	   -0.000654	   -0.001218	    0.002147	    0.000929	   -0.003015	    0.000761	   -0.002254	   -0.001132	   -0.000842	   -0.001974	   -0.004855	    0.005471	    0.000617	    0.007019	   -0.004125	    0.002894	   -0.003936	   -0.000952	   -0.004887	   -0.006457	    0.002435	   -0.004022	   -0.002741	   -0.001256	   -0.003997	   -0.000918	   -0.000758	   -0.001676	   -0.003481	   -0.001581	   -0.005062	   -0.008874	    0.003341	   -0.005532	   -0.004547	    0.000727	   -0.003820	   -0.000927	    0.003565	    0.002638	   -0.007662	    0.000397	   -0.007265	   -0.003968	   -0.000691	   -0.004660	   -0.003025	    0.000170	   -0.002855	   -0.002665	   -0.000192	   -0.002857	   -0.006213	   -0.000669	   -0.006882	   -0.005418	   -0.001144	   -0.006563	   -0.006778	   -0.001509	   -0.008287
     0.225	0	0	    0	   -0.003923	    0.003173	   -0.000750	   -0.002892	   -0.001042	   -0.003934	   -0.003203	   -0.001196	   -0.004399	   -0.004051	   -0.000044	   -0.004094	   -0.003434	    0.000083	   -0.003351	   -0.003591	    0.001272	   -0.002319	    0.007721	   -0.008639	   -0.000918	   -0.012269	    0.005372	   -0.006897	   -0.008738	    0.001755	   -0.006983	   -0.004777	   -0.001699	   -0.006476	   -0.002034	   -0.001399	   -0.003433	   -0.006201	   -0.001956	   -0.008156	   -0.012753	    0.003589	   -0.009164	   -0.005447	   -0.004842	   -0.010289	   -0.000996	    0.002173	    0.001177	   -0.009612	   -0.000842	   -0.010454	   -0.006511	   -0.000950	   -0.007461	   -0.003788	    0.000064	   -0.003724	   -0.004101	   -0.000225	   -0.004326	   -0.009353	   -0.001194	   -0.010546	   -0.008934	   -0.002098	   -0.011032	   -0.004247	   -0.007228	   -0.011476
     0.300	0	0	    0	   -0.010832	    0.014640	    0.003808	   -0.002527	    0.002648	    0.000122	   -0.003282	    0.001032	   -0.002251	   -0.002734	   -0.001583	   -0.004317	   -0.002418	   -0.001823	   -0.004241	   -0.009049	    0.006801	   -0.002248	   -0.008507	    0.013935	    0.005428	   -0.006033	   -0.000873	   -0.006905	    0.001373	   -0.002553	   -0.001180	   -0.001674	   -0.003514	   -0.005188	    0.001411	   -0.001996	   -0.000585	   -0.006543	   -0.003798	   -0.010340	   -0.008354	   -0.001877	   -0.010231	   -0.004374	    0.000082	   -0.004292	    0.005291	    0.004454	    0.009745	    0.003888	   -0.003845	    0.000043	    0.002456	   -0.003689	   -0.001233	    0.002558	    0.000118	    0.002676	    0.002166	   -0.000858	    0.001308	   -0.002260	   -0.004666	   -0.006927	   -0.000528	   -0.001935	   -0.002463	   -0.000618	   -0.006172	   -0.006790
     0.375	0	0	    0	   -0.001366	    0.010921	    0.009555	    0.005843	    0.000217	    0.006060	   -0.000772	    0.004956	    0.004184	    0.007209	   -0.002951	    0.004258	    0.006562	   -0.001338	    0.005225	    0.001281	   -0.000944	    0.000336	   -0.000525	    0.012384	    0.011859	   -0.001622	    0.001102	   -0.000520	    0.017816	    0.004440	    0.022256	    0.003994	   -0.003440	    0.000554	    0.005567	   -0.002448	    0.003118	    0.000595	   -0.003550	   -0.002955	   -0.000921	    0.001182	    0.000261	   -0.000560	   -0.000295	   -0.000854	    0.017600	   -0.000037	    0.017563	    0.018116	    0.003618	    0.021734	    0.014967	    0.002353	    0.017320	    0.006207	    0.001310	    0.007516	    0.006921	    0.000454	    0.007375	    0.003703	    0.000133	    0.003836	    0.003005	    0.000217	    0.003223	   -0.000063	   -0.006752	   -0.006815
     0.450	0	0	    0	    0.011065	    0.009279	    0.020344	    0.010119	   -0.000336	    0.009782	    0.004228	    0.001851	    0.006079	    0.007488	    0.001226	    0.008713	    0.008957	    0.000963	    0.009920	    0.003034	    0.002044	    0.005077	    0.018214	   -0.002951	    0.015263	    0.001010	   -0.000326	    0.000684	    0.022559	    0.009261	    0.031820	    0.006976	   -0.003878	    0.003098	    0.007988	   -0.002350	    0.005638	    0.003109	   -0.002662	    0.000447	    0.000695	    0.004515	    0.005210	    0.005893	   -0.004216	    0.001676	    0.015689	    0.007120	    0.022809	    0.022801	    0.005541	    0.028343	    0.019297	    0.004534	    0.023831	    0.008392	    0.001234	    0.009627	    0.009294	    0.001178	    0.010472	    0.006093	    0.001667	    0.007760	    0.005946	    0.000143	    0.006088	    0.000600	   -0.006607	   -0.006007
     0.525	0	0	    0	    0.027995	   -0.014977	    0.013018	    0.008623	    0.001334	    0.009957	    0.006866	   -0.002054	    0.004812	    0.008087	    0.003362	    0.011448	    0.010362	   -0.000473	    0.009889	    0.000675	   -0.002746	   -0.002071	    0.014700	   -0.000360	    0.014340	    0.000948	    0.000238	    0.001186	    0.026298	    0.009703	    0.036001	    0.006316	   -0.002857	    0.003459	    0.008906	   -0.001493	    0.007413	    0.004911	   -0.003002	    0.001909	    0.002670	    0.003678	    0.006347	    0.002550	   -0.001428	    0.001122	    0.022606	    0.004307	    0.026913	    0.023644	    0.006124	    0.029768	    0.021346	    0.005043	    0.026389	    0.008460	    0.001136	    0.009595	    0.010085	    0.001574	    0.011659	    0.007438	    0.001216	    0.008655	    0.005573	    0.001413	    0.006986	    0.005859	   -0.012503	   -0.006644
     0.600	0	0	    0	    0.018841	   -0.000550	    0.018290	    0.005522	    0.002351	    0.007873	    0.005659	   -0.001501	    0.004158	    0.009877	    0.002176	    0.012053	    0.009756	    0.001958	    0.011714	    0.003439	   -0.004284	   -0.000845	    0.014517	    0.005882	    0.020400	    0.000685	   -0.001120	   -0.000435	    0.024977	    0.009476	    0.034453	    0.005613	   -0.002744	    0.002870	    0.008277	   -0.000967	    0.007310	    0.004480	   -0.002971	    0.001509	    0.001370	    0.005948	    0.007318	    0.006647	   -0.003482	    0.003165	    0.018383	    0.013281	    0.031663	    0.021557	    0.004985	    0.026542	    0.022684	    0.004340	    0.027024	    0.010244	    0.000850	    0.011094	    0.011664	    0.001330	    0.012995	    0.007401	    0.000779	    0.008180	    0.005485	    0.001828	    0.007314	    0.003636	   -0.005713	   -0.002077
