 [File Information]      		 [Data Line]	36
Measured Date	2024/05/27 101056
ID		Version	11.0
Name	oceane_7	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     820
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   61.43	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	   -0.003996	    0.005870	    0.001873	    0.007830	   -0.002399	    0.005431	    0.007497	   -0.004633	    0.002864	    0.001811	    0.000264	    0.002076	    0.004424	   -0.000953	    0.003471	    0.013159	   -0.007469	    0.005690	    0.013704	   -0.021855	   -0.008151	   -0.001522	    0.004464	    0.002942	    0.014074	   -0.002591	    0.011484	    0.007402	   -0.000540	    0.006863	    0.003247	   -0.000046	    0.003201	    0.003588	   -0.001411	    0.002177	    0.010348	   -0.003238	    0.007110	    0.006869	   -0.002061	    0.004808	   -0.009666	    0.005739	   -0.003928	    0.017369	    0.001702	    0.019071	    0.011065	    0.000755	    0.011821	    0.005357	    0.001091	    0.006449	    0.005548	    0.001272	    0.006820	    0.010385	   -0.000260	    0.010125	    0.010023	    0.000629	    0.010652	   -0.000839	    0.002562	    0.001723
     0.150	0	0	    0	    0.017441	   -0.009989	    0.007452	    0.004223	    0.004049	    0.008271	    0.000987	    0.005807	    0.006794	    0.006750	    0.000655	    0.007405	    0.009902	    0.000132	    0.010034	    0.006733	    0.001111	    0.007843	   -0.008550	   -0.001578	   -0.010128	    0.008427	   -0.000794	    0.007634	    0.020236	    0.002116	    0.022353	    0.008721	    0.001766	    0.010488	    0.004936	    0.000673	    0.005609	    0.007932	   -0.000024	    0.007908	    0.014633	   -0.001232	    0.013401	    0.003254	    0.003071	    0.006325	   -0.006917	    0.005134	   -0.001784	    0.023676	    0.005775	    0.029451	    0.016057	    0.004656	    0.020713	    0.007073	    0.002324	    0.009397	    0.007650	    0.002586	    0.010236	    0.014306	    0.002394	    0.016700	    0.011939	    0.001447	    0.013387	   -0.001803	    0.007421	    0.005619
     0.225	0	0	    0	   -0.000017	    0.005123	    0.005105	    0.008300	    0.002097	    0.010396	    0.002713	    0.007220	    0.009933	    0.006632	    0.003080	    0.009712	    0.010507	    0.001606	    0.012113	    0.009287	    0.005157	    0.014444	    0.000213	    0.000477	    0.000690	    0.003207	    0.005534	    0.008741	    0.024675	    0.000860	    0.025535	    0.009777	    0.001891	    0.011667	    0.006164	    0.000554	    0.006718	    0.008946	    0.000780	    0.009727	    0.015416	    0.000719	    0.016135	    0.003456	    0.004762	    0.008218	   -0.002619	    0.002263	   -0.000355	    0.025296	    0.007115	    0.032412	    0.018094	    0.005008	    0.023103	    0.007578	    0.002766	    0.010345	    0.008860	    0.002883	    0.011742	    0.015930	    0.002646	    0.018576	    0.012970	    0.002624	    0.015594	    0.004534	    0.000446	    0.004980
     0.300	0	0	    0	    0.012810	   -0.011065	    0.001745	    0.004792	    0.004796	    0.009588	    0.001758	    0.006918	    0.008676	    0.006619	    0.003303	    0.009923	    0.011777	   -0.000027	    0.011750	    0.003342	    0.007110	    0.010453	   -0.005384	    0.005755	    0.000371	    0.007429	   -0.000250	    0.007179	    0.020559	    0.004571	    0.025130	    0.008351	    0.001912	    0.010263	    0.006077	    0.000906	    0.006983	    0.008879	    0.001155	    0.010034	    0.013677	    0.002741	    0.016419	    0.003456	    0.004762	    0.008218	   -0.010343	    0.010934	    0.000591	    0.023000	    0.006323	    0.029323	    0.015957	    0.005424	    0.021381	    0.007074	    0.002695	    0.009769	    0.008366	    0.002956	    0.011322	    0.013716	    0.003938	    0.017654	    0.011072	    0.002885	    0.013957	   -0.006937	    0.009798	    0.002861
     0.375	0	0	    0	    0.012002	   -0.005750	    0.006252	    0.008535	    0.001491	    0.010026	    0.003814	    0.001149	    0.004963	    0.007465	    0.001277	    0.008742	    0.013413	   -0.001796	    0.011617	    0.011017	    0.001214	    0.012231	    0.011240	   -0.010578	    0.000662	    0.007770	    0.000942	    0.008712	    0.021784	    0.002477	    0.024261	    0.009256	    0.000872	    0.010129	    0.006391	    0.000683	    0.007074	    0.008830	    0.000493	    0.009323	    0.016139	   -0.000367	    0.015771	    0.001435	    0.008619	    0.010054	   -0.002533	    0.003443	    0.000910	    0.023659	    0.005580	    0.029238	    0.016332	    0.004556	    0.020888	    0.007614	    0.001821	    0.009435	    0.008874	    0.002647	    0.011521	    0.014364	    0.002743	    0.017107	    0.013680	    0.001148	    0.014829	    0.007883	   -0.002745	    0.005138
     0.450	0	0	    0	    0.023285	   -0.019157	    0.004128	    0.007530	    0.001082	    0.008611	    0.004987	   -0.000918	    0.004068	    0.008019	    0.001432	    0.009451	    0.015203	   -0.002681	    0.012523	    0.015544	   -0.006840	    0.008704	    0.003955	   -0.010684	   -0.006729	    0.013195	   -0.003045	    0.010150	    0.019931	    0.004237	    0.024169	    0.009482	    0.000324	    0.009807	    0.006457	    0.000677	    0.007134	    0.009030	    0.000570	    0.009600	    0.014588	    0.003244	    0.017832	    0.008942	   -0.000049	    0.008893	   -0.003387	    0.000813	   -0.002574	    0.021199	    0.008531	    0.029730	    0.015253	    0.005958	    0.021211	    0.006244	    0.002073	    0.008317	    0.008119	    0.002544	    0.010663	    0.012977	    0.004175	    0.017153	    0.011883	    0.003535	    0.015418	    0.004762	    0.000343	    0.005105
     0.525	0	0	    0	    0.014766	   -0.004885	    0.009881	    0.005117	    0.002430	    0.007547	    0.006816	   -0.001713	    0.005103	    0.007916	    0.001988	    0.009904	    0.012791	    0.001480	    0.014271	    0.011020	   -0.001814	    0.009206	    0.001319	   -0.002435	   -0.001116	    0.010510	   -0.001060	    0.009450	    0.017010	    0.006359	    0.023369	    0.006545	    0.002734	    0.009279	    0.006134	    0.000919	    0.007053	    0.007748	    0.001478	    0.009226	    0.014953	    0.007793	    0.022746	    0.004292	    0.004719	    0.009011	   -0.006188	    0.006624	    0.000435	    0.023221	    0.009709	    0.032930	    0.012194	    0.006422	    0.018616	    0.003812	    0.001343	    0.005155	    0.006557	    0.002486	    0.009043	    0.008755	    0.005723	    0.014479	    0.011528	    0.007077	    0.018605	    0.002181	    0.003633	    0.005814
     0.600	0	0	    0	    0.012107	   -0.003270	    0.008836	    0.001588	    0.002728	    0.004315	   -0.000326	    0.004527	    0.004201	    0.007073	    0.001866	    0.008939	    0.014505	    0.001008	    0.015514	    0.001337	    0.002461	    0.003798	    0.000804	   -0.004338	   -0.003535	    0.006508	    0.004725	    0.011232	    0.019633	    0.006190	    0.025823	    0.007812	    0.002583	    0.010395	    0.004499	    0.001159	    0.005659	    0.007445	    0.001790	    0.009234	    0.020764	    0.010216	    0.030980	    0.005428	    0.004329	    0.009757	   -0.006287	    0.005664	   -0.000623	    0.025507	    0.012653	    0.038160	    0.009863	    0.005918	    0.015780	    0.000472	   -0.000157	    0.000314	    0.004272	    0.001767	    0.006039	    0.004228	    0.003624	    0.007852	    0.013485	    0.006565	    0.020050	   -0.000483	    0.009950	    0.009467
