 [File Information]      		 [Data Line]	36
Measured Date	2024/05/27 094845
ID		Version	11.0
Name	oceane_1	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     822
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   61.58	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	   -0.010351	    0.014071	    0.003720	   -0.000765	   -0.001846	   -0.002611	   -0.002418	    0.006133	    0.003715	    0.001086	   -0.003884	   -0.002798	   -0.003251	    0.008596	    0.005345	   -0.006712	    0.004441	   -0.002271	   -0.005121	    0.009140	    0.004019	   -0.002051	    0.000359	   -0.001692	   -0.001789	   -0.001235	   -0.003024	    0.000647	   -0.001176	   -0.000529	   -0.000700	   -0.000289	   -0.000989	   -0.003793	   -0.003858	   -0.007651	    0.004210	   -0.002376	    0.001834	    0.001498	    0.000190	    0.001689	   -0.006830	    0.005380	   -0.001450	    0.000290	   -0.001803	   -0.001513	    0.000977	   -0.000575	    0.000402	    0.001769	    0.000923	    0.002692	   -0.000942	   -0.002807	   -0.003748	   -0.001582	   -0.001117	   -0.002699	    0.002263	   -0.000662	    0.001601	   -0.002285	    0.006225	    0.003940
     0.150	0	0	    0	   -0.015759	    0.010263	   -0.005496	   -0.003653	   -0.000432	   -0.004084	   -0.004485	    0.016230	    0.011745	    0.000078	   -0.003475	   -0.003397	   -0.008199	    0.007631	   -0.000567	   -0.017061	    0.008060	   -0.009001	   -0.011590	    0.024837	    0.013247	   -0.002439	    0.002238	   -0.000201	   -0.004044	   -0.004454	   -0.008497	   -0.002304	    0.001870	   -0.000433	    0.002298	   -0.001806	    0.000492	   -0.003107	   -0.006309	   -0.009416	   -0.000464	   -0.002355	   -0.002819	   -0.000719	    0.001825	    0.001106	    0.007519	   -0.005126	    0.002393	   -0.001071	   -0.002732	   -0.003803	   -0.000035	    0.000581	    0.000546	    0.001897	    0.002013	    0.003910	   -0.001373	   -0.005354	   -0.006727	   -0.002750	   -0.007584	   -0.010334	    0.001868	   -0.000512	    0.001356	   -0.003004	    0.003581	    0.000576
     0.225	0	0	    0	   -0.017237	    0.014963	   -0.002274	   -0.003888	   -0.002470	   -0.006358	   -0.000616	    0.009044	    0.008429	   -0.004271	   -0.001375	   -0.005646	   -0.010089	    0.007736	   -0.002353	   -0.015654	    0.005474	   -0.010180	   -0.012074	    0.020110	    0.008036	   -0.011737	    0.000981	   -0.010755	   -0.003331	   -0.005434	   -0.008765	   -0.004150	    0.001002	   -0.003148	    0.000321	    0.000166	    0.000486	   -0.014941	   -0.006034	   -0.020974	    0.002412	   -0.009163	   -0.006751	   -0.000985	    0.003317	    0.002331	   -0.008175	    0.004315	   -0.003859	   -0.001877	   -0.001886	   -0.003763	   -0.000795	   -0.000678	   -0.001473	    0.002722	    0.000682	    0.003404	   -0.002821	   -0.006046	   -0.008867	   -0.003224	   -0.008744	   -0.011968	    0.000705	    0.001135	    0.001840	   -0.010507	    0.010851	    0.000343
     0.300	0	0	    0	   -0.002061	   -0.005182	   -0.007243	   -0.012061	   -0.013148	   -0.025209	    0.012733	    0.014798	    0.027531	    0.004970	   -0.010023	   -0.005053	   -0.021402	   -0.028226	   -0.049628	   -0.035136	    0.002739	   -0.032397	    0.012706	    0.019240	    0.031946	   -0.010418	   -0.009687	   -0.020105	   -0.030392	   -0.014710	   -0.045102	   -0.000005	   -0.002750	   -0.002755	   -0.002132	   -0.007332	   -0.009464	   -0.019848	   -0.035832	   -0.055680	   -0.030408	   -0.019190	   -0.049598	    0.003459	   -0.001052	    0.002407	   -0.004901	    0.000237	   -0.004664	   -0.013912	   -0.010719	   -0.024631	   -0.003031	   -0.001033	   -0.004063	    0.015514	    0.006876	    0.022389	   -0.023707	   -0.027713	   -0.051420	   -0.046668	   -0.010442	   -0.057110	   -0.002049	   -0.008334	   -0.010383	   -0.015858	    0.010011	   -0.005847
     0.375	0	0	    0	    0.000577	    0.011174	    0.011751	   -0.006974	   -0.019062	   -0.026036	    0.030383	    0.018326	    0.048709	    0.025523	   -0.002208	    0.023314	   -0.039286	   -0.028430	   -0.067716	   -0.021965	   -0.028820	   -0.050784	    0.045259	    0.045314	    0.090574	    0.004816	   -0.003265	    0.001551	   -0.044266	   -0.036469	   -0.080735	   -0.005512	   -0.008154	   -0.013666	    0.010493	   -0.011989	   -0.001496	   -0.014848	   -0.045685	   -0.060533	   -0.144135	   -0.085338	   -0.229473	    0.022076	    0.013072	    0.035148	    0.039655	   -0.001439	    0.038215	   -0.014554	   -0.018877	   -0.033430	   -0.010782	   -0.009196	   -0.019978	    0.024156	    0.010898	    0.035055	   -0.031391	   -0.047267	   -0.078658	   -0.152924	   -0.060705	   -0.213629	   -0.087457	   -0.015779	   -0.103236	    0.053728	    0.012805	    0.066534
     0.450	0	0	    0	    0.015166	    0.026881	    0.042047	    0.003307	   -0.009648	   -0.006342	    0.047636	    0.034118	    0.081754	    0.041476	    0.023906	    0.065382	   -0.040937	   -0.051930	   -0.092867	   -0.052598	   -0.000526	   -0.053124	    0.091108	    0.113955	    0.205062	    0.015259	    0.024924	    0.040183	   -0.050161	   -0.047459	   -0.097620	   -0.020225	   -0.024697	   -0.044923	    0.032440	   -0.000939	    0.031500	   -0.002571	   -0.026802	   -0.029373	   -0.268318	   -0.232914	   -0.501231	    0.059123	    0.042639	    0.101762	    0.106011	    0.025003	    0.131014	   -0.004382	   -0.005940	   -0.010322	   -0.032397	   -0.023482	   -0.055879	    0.024634	    0.006064	    0.030697	   -0.013813	   -0.058308	   -0.072121	   -0.268630	   -0.222715	   -0.491345	   -0.181035	   -0.145329	   -0.326364	    0.105660	    0.061396	    0.167057
     0.525	0	0	    0	    0.024877	    0.014606	    0.039483	    0.006197	   -0.004161	    0.002036	    0.054758	    0.043231	    0.097989	    0.043006	    0.029224	    0.072229	   -0.026517	   -0.050830	   -0.077347	   -0.040150	   -0.017447	   -0.057597	    0.093954	    0.137650	    0.231604	    0.020004	    0.021069	    0.041072	   -0.048834	   -0.043574	   -0.092408	   -0.010835	   -0.034229	   -0.045064	    0.022276	    0.023002	    0.045278	    0.009677	   -0.021777	   -0.012101	   -0.238960	   -0.275572	   -0.514532	    0.087714	    0.050382	    0.138096	    0.099918	    0.044098	    0.144016	   -0.004535	    0.003945	   -0.000591	   -0.023974	   -0.038207	   -0.062180	    0.024040	    0.008978	    0.033017	   -0.017430	   -0.047437	   -0.064866	   -0.236122	   -0.243598	   -0.479720	   -0.151046	   -0.160966	   -0.312012	    0.117773	    0.107829	    0.225602
     0.600	0	0	    0	    0.032830	    0.027439	    0.060269	    0.009228	   -0.010514	   -0.001286	    0.060519	    0.043798	    0.104317	    0.049016	    0.022678	    0.071693	   -0.022148	   -0.033848	   -0.055996	   -0.009657	   -0.028279	   -0.037936	    0.135077	    0.114115	    0.249192	    0.043614	    0.022724	    0.066338	   -0.054629	   -0.040388	   -0.095017	   -0.004524	   -0.034240	   -0.038764	    0.023301	    0.010550	    0.033851	    0.023707	   -0.013273	    0.010435	   -0.221620	   -0.259040	   -0.480661	    0.093217	    0.058230	    0.151447	    0.066642	    0.071109	    0.137751	   -0.012774	    0.004497	   -0.008277	   -0.014494	   -0.034037	   -0.048531	    0.027538	    0.001379	    0.028917	   -0.006582	   -0.053336	   -0.059918	   -0.218628	   -0.225186	   -0.443815	   -0.146948	   -0.147679	   -0.294627	    0.104407	    0.091932	    0.196338
