         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.675	0	0	    0	    0.005772	    0.004881	    0.010653	    0.006454	   -0.002194	    0.004260	    0.006308	    0.002457	    0.008765	    0.004721	   -0.001850	    0.002870	    0.007839	   -0.005534	    0.002305	    0.009329	    0.003612	    0.012941	    0.019186	   -0.072266	   -0.053079	    0.003253	    0.006348	    0.009602	    0.005040	   -0.000586	    0.004454	    0.012322	    0.000708	    0.013031	    0.000067	    0.000933	    0.001000	    0.003269	    0.000872	    0.004141	    0.008561	   -0.006597	    0.001964	   -0.014466	   -0.014248	   -0.028715	    0.000144	   -0.024879	   -0.024734	   -0.014146	   -0.006019	   -0.020165	    0.005079	    0.001195	    0.006274	    0.003284	   -0.000346	    0.002938	    0.000679	    0.000089	    0.000768	    0.004157	    0.001155	    0.005312	   -0.026234	   -0.015534	   -0.041769	   -0.038533	   -0.064075	   -0.102608
     0.750	0	0	    0	   -0.009237	    0.001496	   -0.007741	    0.000240	   -0.002895	   -0.002656	    0.000695	    0.003830	    0.004525	    0.000095	   -0.001966	   -0.001871	    0.002127	    0.002943	    0.005070	    0.004719	    0.005460	    0.010179	    0.009666	   -0.047802	   -0.038136	   -0.030647	   -0.004331	   -0.034978	    0.001489	   -0.000167	    0.001323	    0.002559	   -0.007269	   -0.004711	   -0.000822	    0.000368	   -0.000454	   -0.000262	    0.001642	    0.001379	    0.004488	    0.000816	    0.005304	   -0.023098	   -0.011173	   -0.034271	    0.057104	    0.004628	    0.061732	   -0.036118	   -0.030216	   -0.066335	   -0.007788	    0.005896	   -0.001892	    0.003521	   -0.005610	   -0.002089	   -0.000747	   -0.001063	   -0.001810	   -0.005973	   -0.003028	   -0.009001	   -0.061514	   -0.056069	   -0.117582	    0.018896	   -0.088467	   -0.069571
     0.825	0	0	    0	   -0.002198	   -0.011045	   -0.013244	   -0.003635	   -0.000846	   -0.004481	   -0.002971	    0.001563	   -0.001408	   -0.000330	   -0.004082	   -0.004412	    0.008909	   -0.001213	    0.007696	    0.013304	   -0.003318	    0.009986	    0.028056	   -0.057776	   -0.029719	   -0.030584	   -0.039868	   -0.070453	    0.002077	   -0.004065	   -0.001988	   -0.002370	   -0.000215	   -0.002585	   -0.002639	    0.000770	   -0.001870	   -0.000591	    0.000479	   -0.000111	    0.001942	    0.002285	    0.004227	   -0.027931	   -0.032049	   -0.059980	    0.056182	    0.005389	    0.061572	   -0.036539	   -0.048506	   -0.085045	    0.004495	   -0.011628	   -0.007133	    0.001548	   -0.003516	   -0.001968	   -0.002248	   -0.000879	   -0.003127	   -0.006925	   -0.007264	   -0.014189	   -0.065930	   -0.083825	   -0.149755	    0.047109	   -0.024985	    0.022123
     0.900	0	0	    0	    0.005715	   -0.021052	   -0.015337	   -0.002149	   -0.003557	   -0.005705	   -0.001548	    0.004046	    0.002499	   -0.000182	   -0.005283	   -0.005466	    0.008420	    0.006530	    0.014949	    0.004511	    0.003810	    0.008321	    0.049433	   -0.043006	    0.006426	   -0.036893	   -0.042191	   -0.079084	    0.002500	   -0.003854	   -0.001354	    0.010825	   -0.013364	   -0.002539	   -0.003639	   -0.000519	   -0.004158	   -0.001342	    0.000333	   -0.001009	   -0.002040	    0.006184	    0.004144	   -0.032770	   -0.016707	   -0.049476	    0.077660	    0.055699	    0.133359	   -0.043029	   -0.051367	   -0.094397	    0.002254	   -0.012723	   -0.010469	    0.001792	   -0.003375	   -0.001582	   -0.002707	   -0.001148	   -0.003856	   -0.009145	   -0.007873	   -0.017018	   -0.073383	   -0.089433	   -0.162817	    0.068423	    0.002969	    0.071392
     0.975	0	0	    0	   -0.002216	   -0.020018	   -0.022234	   -0.005286	   -0.002599	   -0.007885	   -0.007908	    0.003906	   -0.004002	   -0.002982	   -0.004178	   -0.007160	    0.001573	    0.006797	    0.008369	   -0.006621	   -0.000119	   -0.006741	    0.015344	   -0.039857	   -0.024513	   -0.039710	   -0.050397	   -0.090107	   -0.001487	    0.000007	   -0.001480	   -0.008043	    0.007904	   -0.000139	   -0.004714	   -0.001023	   -0.005736	   -0.003242	   -0.000125	   -0.003367	   -0.008919	    0.008279	   -0.000640	   -0.043104	   -0.015355	   -0.058459	    0.075171	    0.053018	    0.128188	   -0.049194	   -0.051317	   -0.100511	    0.008171	   -0.014828	   -0.006657	    0.001073	   -0.002534	   -0.001461	   -0.004114	   -0.001103	   -0.005217	   -0.010772	   -0.008701	   -0.019474	   -0.075580	   -0.095446	   -0.171026	    0.058356	    0.010918	    0.069273
     1.050	0	0	    0	   -0.007091	   -0.022706	   -0.029797	   -0.004130	   -0.005744	   -0.009874	   -0.002576	    0.000645	   -0.001932	   -0.004243	   -0.005811	   -0.010054	    0.003755	    0.000884	    0.004639	    0.000714	   -0.000902	   -0.000188	    0.036918	   -0.060690	   -0.023772	   -0.041202	   -0.055139	   -0.096341	   -0.007535	    0.003165	   -0.004369	   -0.003883	    0.004837	    0.000954	   -0.004999	   -0.000198	   -0.005197	   -0.003567	    0.000269	   -0.003299	   -0.010355	    0.007579	   -0.002776	   -0.042321	   -0.030686	   -0.073007	    0.031303	    0.016816	    0.048119	   -0.045361	   -0.050931	   -0.096292	   -0.010527	    0.004939	   -0.005587	   -0.002224	    0.001963	   -0.000261	   -0.002113	   -0.000533	   -0.002647	   -0.011054	   -0.007402	   -0.018456	   -0.067940	   -0.095776	   -0.163715	   -0.003599	    0.005345	    0.001745
     1.125	0	0	    0	    0.006585	   -0.019411	   -0.012826	    0.002861	   -0.003346	   -0.000484	    0.005392	   -0.000730	    0.004663	    0.000279	   -0.007693	   -0.007415	    0.014852	    0.002306	    0.017158	    0.000053	    0.010327	    0.010380	    0.041987	   -0.052139	   -0.010152	   -0.004872	   -0.052323	   -0.057195	    0.001790	   -0.002044	   -0.000255	    0.004035	    0.007371	    0.011406	   -0.000994	    0.000155	   -0.000840	    0.001721	   -0.000959	    0.000762	   -0.001247	    0.006607	    0.005360	   -0.023493	   -0.009487	   -0.032980	    0.000744	    0.002616	    0.003360	   -0.008519	   -0.037946	   -0.046464	    0.001546	    0.003616	    0.005162	    0.003250	    0.001269	    0.004520	    0.000601	    0.000819	    0.001421	    0.003700	   -0.004131	   -0.000431	   -0.006287	   -0.076491	   -0.082778	    0.024148	   -0.032121	   -0.007973
     1.200	0	0	    0	    0.014786	   -0.009366	    0.005420	    0.007219	   -0.002277	    0.004942	    0.003018	    0.009599	    0.012617	    0.003371	   -0.004060	   -0.000689	    0.016376	   -0.007396	    0.008980	   -0.011159	    0.016784	    0.005625	    0.017681	   -0.024114	   -0.006433	    0.008724	   -0.017867	   -0.009143	    0.003722	    0.000464	    0.004186	    0.000563	    0.010900	    0.011463	   -0.000027	    0.001152	    0.001125	    0.004542	    0.000362	    0.004904	    0.005228	   -0.000849	    0.004380	   -0.006187	   -0.002747	   -0.008934	   -0.008737	    0.022272	    0.013535	    0.001866	   -0.002795	   -0.000929	    0.008627	   -0.001237	    0.007390	    0.007158	   -0.001937	    0.005221	    0.001737	    0.001079	    0.002816	    0.008510	    0.002785	    0.011295	    0.008821	   -0.002792	    0.006029	    0.005860	    0.025968	    0.031828
     1.275	0	0	    0	   -0.000625	    0.004476	    0.003850	    0.003034	    0.000358	    0.003392	    0.003684	    0.006611	    0.010295	    0.003482	   -0.004406	   -0.000924	    0.006351	    0.002061	    0.008412	   -0.004197	    0.008055	    0.003858	   -0.032617	   -0.032864	   -0.065481	   -0.001475	   -0.000214	   -0.001689	    0.004270	    0.000388	    0.004657	    0.001065	    0.014588	    0.015654	   -0.000582	    0.000817	    0.000236	    0.002116	    0.002237	    0.004354	    0.008994	   -0.002930	    0.006064	   -0.038073	   -0.002379	   -0.040452	   -0.032954	   -0.007886	   -0.040840	   -0.012292	   -0.000816	   -0.013108	    0.009811	   -0.001747	    0.008063	   -0.000989	    0.004081	    0.003092	   -0.000145	    0.000958	    0.000812	    0.007002	    0.003094	    0.010096	   -0.024784	   -0.002776	   -0.027560	   -0.051301	   -0.036554	   -0.087856
     1.350	0	0	    0	    0.008086	   -0.012116	   -0.004030	   -0.000861	    0.000635	   -0.000226	    0.000163	    0.006644	    0.006807	   -0.000354	   -0.003032	   -0.003386	    0.004893	    0.007127	    0.012020	    0.010909	    0.012279	    0.023189	   -0.025759	   -0.029902	   -0.055661	   -0.017999	   -0.006868	   -0.024867	    0.003305	    0.000404	    0.003708	   -0.003883	    0.004837	    0.000954	    0.000130	   -0.000334	   -0.000204	    0.000998	    0.002433	    0.003432	    0.009139	   -0.001936	    0.007202	   -0.024635	   -0.005388	   -0.030023	    0.035087	    0.016532	    0.051619	   -0.032692	   -0.023097	   -0.055789	    0.002172	   -0.003179	   -0.001007	    0.005760	   -0.009927	   -0.004167	   -0.000069	   -0.000574	   -0.000643	   -0.001313	   -0.000829	   -0.002142	   -0.055983	   -0.039224	   -0.095207	   -0.013643	   -0.066768	   -0.080412
