 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 101945
ID		Version	11.0
Name	tristan_5	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     841
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   63.00	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	   -0.000340	   -0.000381	   -0.000721	    0.000543	   -0.001206	   -0.000663	    0.000368	   -0.000584	   -0.000215	    0.000090	   -0.000471	   -0.000381	   -0.000231	    0.000035	   -0.000196	   -0.000356	   -0.000156	   -0.000512	   -0.000884	    0.000640	   -0.000244	   -0.000946	    0.000922	   -0.000023	   -0.001687	    0.000387	   -0.001300	    0.000237	   -0.001223	   -0.000987	    0.000050	   -0.000436	   -0.000385	   -0.000338	   -0.000215	   -0.000553	   -0.000775	   -0.000639	   -0.001415	   -0.002425	    0.000647	   -0.001778	    0.002023	   -0.001990	    0.000033	   -0.000566	   -0.000084	   -0.000650	   -0.001902	    0.000561	   -0.001342	   -0.000622	   -0.000711	   -0.001333	   -0.000658	   -0.000829	   -0.001487	   -0.002076	    0.000037	   -0.002039	   -0.001606	    0.000511	   -0.001095	   -0.001128	    0.000832	   -0.000296
     0.150	0	0	    0	   -0.001667	    0.000865	   -0.000802	    0.000900	   -0.000851	    0.000050	    0.000598	    0.000010	    0.000608	   -0.000278	   -0.000373	   -0.000651	    0.000394	   -0.000196	    0.000199	    0.001204	   -0.001127	    0.000076	   -0.004092	    0.002518	   -0.001574	   -0.000426	    0.000512	    0.000086	   -0.001358	    0.000248	   -0.001110	    0.000574	   -0.001900	   -0.001326	   -0.000121	    0.000225	    0.000104	   -0.000037	   -0.000205	   -0.000242	    0.000111	   -0.000525	   -0.000414	   -0.003191	    0.002302	   -0.000888	   -0.000859	    0.000497	   -0.000362	   -0.000026	   -0.000410	   -0.000436	   -0.001479	    0.000409	   -0.001070	   -0.000860	   -0.000455	   -0.001315	   -0.001078	   -0.000035	   -0.001114	   -0.001931	    0.000731	   -0.001201	   -0.001584	    0.001285	   -0.000300	   -0.001447	    0.003192	    0.001745
     0.225	0	0	    0	   -0.001155	   -0.000094	   -0.001249	   -0.001375	   -0.000110	   -0.001486	   -0.000300	    0.000255	   -0.000045	   -0.000328	   -0.000481	   -0.000809	    0.000421	    0.000056	    0.000477	   -0.001111	    0.000622	   -0.000488	   -0.005973	    0.005471	   -0.000503	   -0.001081	    0.000609	   -0.000472	   -0.002280	   -0.000063	   -0.002344	   -0.001642	   -0.001132	   -0.002774	   -0.000702	   -0.000077	   -0.000779	   -0.000019	   -0.000568	   -0.000587	   -0.000980	   -0.000325	   -0.001305	   -0.004917	    0.001820	   -0.003097	    0.001220	   -0.000337	    0.000884	   -0.001175	    0.000128	   -0.001047	   -0.002853	   -0.000428	   -0.003281	   -0.003048	   -0.001053	   -0.004101	   -0.002613	   -0.000645	   -0.003257	   -0.003374	    0.000612	   -0.002761	   -0.000957	   -0.002030	   -0.002986	   -0.002278	    0.002838	    0.000560
     0.300	0	0	    0	   -0.002587	    0.000408	   -0.002179	   -0.002318	   -0.000754	   -0.003072	   -0.000637	   -0.000366	   -0.001002	   -0.000672	   -0.000825	   -0.001498	   -0.000436	   -0.000299	   -0.000736	   -0.001152	   -0.001208	   -0.002360	   -0.002863	   -0.000472	   -0.003335	   -0.002443	    0.001425	   -0.001018	   -0.004210	   -0.000052	   -0.004263	   -0.002565	   -0.002207	   -0.004772	   -0.002000	   -0.000177	   -0.002176	   -0.001747	   -0.000088	   -0.001835	   -0.003027	   -0.000275	   -0.003303	   -0.003863	   -0.000361	   -0.004224	   -0.002729	    0.001911	   -0.000817	   -0.002331	    0.000140	   -0.002191	   -0.004421	   -0.001904	   -0.006325	   -0.005438	   -0.001807	   -0.007245	   -0.004756	   -0.000946	   -0.005702	   -0.005417	   -0.000192	   -0.005609	   -0.003325	   -0.000836	   -0.004162	   -0.002537	    0.001776	   -0.000762
     0.375	0	0	    0	   -0.004030	    0.000191	   -0.003839	   -0.004606	   -0.000683	   -0.005289	   -0.002007	    0.000051	   -0.001956	   -0.001917	   -0.000153	   -0.002070	   -0.001968	    0.000069	   -0.001899	   -0.003179	   -0.000964	   -0.004143	   -0.006443	    0.000566	   -0.005878	   -0.002094	   -0.000084	   -0.002178	   -0.007374	    0.001082	   -0.006292	   -0.004456	   -0.003132	   -0.007588	   -0.003627	   -0.000071	   -0.003698	   -0.002699	    0.000037	   -0.002662	   -0.004814	   -0.001545	   -0.006359	   -0.008105	    0.001503	   -0.006603	   -0.002638	   -0.000236	   -0.002874	   -0.003407	    0.000052	   -0.003355	   -0.007749	   -0.001649	   -0.009398	   -0.008127	   -0.002187	   -0.010314	   -0.006610	   -0.001320	   -0.007930	   -0.007808	   -0.000149	   -0.007957	   -0.005283	   -0.000795	   -0.006078	   -0.008129	    0.005609	   -0.002519
     0.450	0	0	    0	   -0.006329	    0.000307	   -0.006022	   -0.006119	   -0.001649	   -0.007768	   -0.003676	   -0.000338	   -0.004014	   -0.002643	   -0.000628	   -0.003271	   -0.003225	   -0.000447	   -0.003672	   -0.004468	   -0.002528	   -0.006996	   -0.006062	   -0.001150	   -0.007212	   -0.004335	    0.001160	   -0.003175	   -0.008269	   -0.000017	   -0.008286	   -0.006557	   -0.002944	   -0.009501	   -0.005054	   -0.000625	   -0.005679	   -0.004218	   -0.000544	   -0.004762	   -0.008520	   -0.001118	   -0.009638	   -0.008146	   -0.000859	   -0.009005	   -0.002215	   -0.001729	   -0.003944	   -0.004841	   -0.000151	   -0.004992	   -0.009854	   -0.001863	   -0.011717	   -0.010698	   -0.002535	   -0.013233	   -0.008452	   -0.001874	   -0.010326	   -0.011026	   -0.000104	   -0.011131	   -0.007078	   -0.001204	   -0.008282	   -0.004177	    0.000300	   -0.003877
     0.525	0	0	    0	   -0.007246	   -0.001114	   -0.008360	   -0.009264	   -0.001629	   -0.010892	   -0.005116	   -0.000927	   -0.006043	   -0.004274	   -0.000181	   -0.004455	   -0.004712	   -0.001111	   -0.005823	   -0.007765	   -0.001898	   -0.009663	   -0.010077	    0.000799	   -0.009278	   -0.004875	    0.000365	   -0.004510	   -0.011876	    0.000605	   -0.011271	   -0.007370	   -0.003028	   -0.010399	   -0.006650	   -0.000986	   -0.007636	   -0.006213	   -0.000502	   -0.006715	   -0.009688	   -0.003412	   -0.013100	   -0.012939	    0.001319	   -0.011621	   -0.004369	   -0.000546	   -0.004915	   -0.006505	   -0.000101	   -0.006606	   -0.013934	   -0.002126	   -0.016060	   -0.014046	   -0.003369	   -0.017414	   -0.012272	   -0.002352	   -0.014623	   -0.013381	   -0.001373	   -0.014754	   -0.009766	   -0.001372	   -0.011137	   -0.006671	    0.000332	   -0.006339
     0.600	0	0	    0	   -0.010735	   -0.000674	   -0.011409	   -0.011134	   -0.002339	   -0.013473	   -0.006275	   -0.001054	   -0.007329	   -0.004874	   -0.001098	   -0.005972	   -0.005585	   -0.001664	   -0.007249	   -0.009098	   -0.003338	   -0.012436	   -0.009587	   -0.001860	   -0.011447	   -0.006112	    0.000186	   -0.005926	   -0.013668	   -0.000602	   -0.014270	   -0.008595	   -0.002693	   -0.011288	   -0.008255	   -0.001320	   -0.009575	   -0.006726	   -0.001389	   -0.008115	   -0.012549	   -0.001896	   -0.014445	   -0.012781	   -0.000285	   -0.013066	   -0.002774	   -0.002862	   -0.005636	   -0.007594	   -0.000891	   -0.008485	   -0.015939	   -0.003137	   -0.019076	   -0.016505	   -0.004785	   -0.021289	   -0.013993	   -0.003757	   -0.017750	   -0.015719	   -0.002769	   -0.018488	   -0.010171	   -0.002108	   -0.012278	   -0.009183	    0.002851	   -0.006332
