 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 102105
ID		Version	11.0
Name	tristan_5	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     838
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   62.78	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	   -0.002789	   -0.004786	   -0.007575	    0.003507	   -0.003531	   -0.000023	    0.003803	   -0.000513	    0.003290	    0.002448	    0.003868	    0.006316	   -0.013742	   -0.002483	   -0.016225	   -0.008732	   -0.003642	   -0.012374	    0.034514	    0.011806	    0.046319	   -0.006961	    0.000962	   -0.005999	   -0.024672	   -0.024389	   -0.049061	   -0.095559	   -0.051871	   -0.147430	   -0.019027	   -0.025410	   -0.044437	   -0.044613	    0.002955	   -0.041659	   -0.124125	   -0.027618	   -0.151743	   -0.023794	   -0.020234	   -0.044028	    0.002261	    0.024163	    0.026424	   -0.001295	   -0.004297	   -0.005593	    0.014427	    0.009167	    0.023594	    0.086094	    0.049392	    0.135486	    0.111076	    0.043583	    0.154659	    0.043822	    0.013760	    0.057582	   -0.055821	    0.007028	   -0.048793	    0.018015	   -0.010109	    0.007906
     0.150	0	0	    0	    0.012307	    0.000651	    0.012958	    0.001211	   -0.000358	    0.000854	    0.004556	    0.006120	    0.010675	   -0.001576	    0.002529	    0.000953	   -0.027673	    0.020871	   -0.006801	   -0.017471	    0.018185	    0.000714	    0.051936	    0.050861	    0.102797	   -0.018437	    0.003799	   -0.014638	   -0.015758	   -0.036621	   -0.052379	   -0.106829	   -0.115039	   -0.221867	   -0.012390	   -0.031398	   -0.043788	   -0.099030	   -0.064308	   -0.163337	   -0.160932	   -0.133708	   -0.294640	   -0.022300	   -0.034919	   -0.057219	    0.006219	    0.031839	    0.038059	    0.013391	    0.017001	    0.030392	    0.011353	    0.017100	    0.028453	    0.084582	    0.097700	    0.182282	    0.115506	    0.118527	    0.234033	    0.046262	    0.080904	    0.127166	   -0.067309	   -0.052959	   -0.120268	    0.024514	    0.010341	    0.034855
     0.225	0	0	    0	    0.006489	    0.004960	    0.011449	   -0.006455	   -0.001830	   -0.008285	    0.001032	    0.005645	    0.006678	   -0.001086	    0.003779	    0.002693	   -0.031108	    0.013669	   -0.017439	   -0.023581	    0.016939	   -0.006642	    0.042045	    0.056888	    0.098933	   -0.022365	    0.002609	   -0.019756	   -0.024752	   -0.032507	   -0.057259	   -0.095649	   -0.104442	   -0.200091	   -0.012421	   -0.027728	   -0.040150	   -0.089975	   -0.086162	   -0.176138	   -0.159978	   -0.144391	   -0.304368	   -0.028419	   -0.032126	   -0.060545	    0.002207	    0.035103	    0.037309	    0.006240	    0.023703	    0.029943	    0.011172	    0.020593	    0.031765	    0.072459	    0.094316	    0.166776	    0.093558	    0.111174	    0.204732	    0.037917	    0.092443	    0.130361	   -0.071310	   -0.057750	   -0.129059	    0.013594	    0.009877	    0.023471
     0.300	0	0	    0	    0.000043	    0.002388	    0.002431	   -0.020652	   -0.001520	   -0.022173	   -0.009002	    0.006571	   -0.002431	    0.001844	    0.004097	    0.005941	   -0.030660	    0.008528	   -0.022132	   -0.023635	    0.006105	   -0.017530	    0.020471	    0.050579	    0.071049	   -0.023574	    0.002592	   -0.020982	   -0.029523	   -0.032957	   -0.062480	   -0.025186	   -0.101506	   -0.126692	   -0.004383	   -0.023631	   -0.028014	   -0.062681	   -0.080213	   -0.142893	   -0.125198	   -0.148655	   -0.273853	   -0.014858	   -0.036411	   -0.051269	    0.004898	    0.034779	    0.039677	    0.010218	    0.021072	    0.031290	    0.001448	    0.021334	    0.022781	   -0.012823	    0.080029	    0.067206	   -0.024920	    0.079413	    0.054493	    0.015555	    0.091771	    0.107326	   -0.055581	   -0.062773	   -0.118354	    0.020505	    0.005262	    0.025766
     0.375	0	0	    0	   -0.003034	   -0.001720	   -0.004753	    0.002644	   -0.003079	   -0.000435	    0.000074	   -0.005664	   -0.005590	   -0.005461	    0.004490	   -0.000971	   -0.012137	   -0.012926	   -0.025062	   -0.019340	   -0.000505	   -0.019844	    0.015743	    0.028261	    0.044004	   -0.010824	    0.009018	   -0.001805	    0.006084	   -0.005707	    0.000377	    0.015083	   -0.008154	    0.006928	    0.035119	    0.016364	    0.051483	   -0.016444	   -0.007972	   -0.024416	    0.005398	   -0.023513	   -0.018114	    0.025926	    0.013515	    0.039441	    0.031260	    0.033366	    0.064626	    0.050681	    0.027265	    0.077946	   -0.019114	    0.007703	   -0.011411	   -0.042790	   -0.003863	   -0.046653	   -0.016823	   -0.012929	   -0.029753	   -0.038816	    0.004494	   -0.034321	    0.002825	   -0.003864	   -0.001038	    0.069216	    0.023352	    0.092569
     0.450	0	0	    0	    0.004597	    0.007839	    0.012436	    0.001222	    0.007675	    0.008897	    0.006371	    0.000479	    0.006850	   -0.011673	   -0.004290	   -0.015963	    0.014820	    0.010209	    0.025028	   -0.008325	    0.003311	   -0.005014	    0.034983	    0.015670	    0.050653	    0.000055	    0.027087	    0.027143	    0.008622	    0.018944	    0.027565	   -0.005066	    0.000033	   -0.005033	    0.022547	    0.023755	    0.046303	   -0.037415	   -0.026966	   -0.064381	    0.000524	    0.024387	    0.024910	    0.025324	    0.033766	    0.059090	    0.045092	    0.076111	    0.121203	    0.075975	    0.056892	    0.132868	   -0.023443	   -0.019307	   -0.042750	   -0.019510	   -0.016174	   -0.035684	    0.003294	   -0.016869	   -0.013575	   -0.018838	   -0.027803	   -0.046642	    0.005253	    0.004213	    0.009466	    0.080380	    0.053998	    0.134378
     0.525	0	0	    0	    0.002174	    0.010417	    0.012591	    0.000926	    0.001417	    0.002343	    0.014158	    0.005390	    0.019549	    0.004964	    0.006614	    0.011578	    0.000837	    0.008886	    0.009723	   -0.004764	    0.001660	   -0.003104	    0.061460	    0.030821	    0.092281	    0.011133	    0.058365	    0.069498	   -0.019686	   -0.005156	   -0.024842	   -0.106457	   -0.058075	   -0.164532	   -0.007387	   -0.013663	   -0.021050	   -0.088039	   -0.029391	   -0.117431	   -0.122616	   -0.018562	   -0.141178	   -0.001620	    0.007158	    0.005538	    0.048410	    0.113131	    0.161541	    0.065971	    0.069336	    0.135307	   -0.005127	   -0.012014	   -0.017141	    0.078768	    0.039789	    0.118557	    0.117853	    0.049694	    0.167547	    0.025346	    0.007197	    0.032543	   -0.044785	    0.005652	   -0.039133	    0.089341	    0.059017	    0.148358
     0.600	0	0	    0	    0.009717	    0.014055	    0.023773	    0.001212	    0.000958	    0.002170	    0.011750	    0.012403	    0.024153	    0.000649	    0.011850	    0.012500	   -0.019079	    0.016448	   -0.002631	   -0.001810	    0.017121	    0.015312	    0.054499	    0.052612	    0.107111	    0.003632	    0.070695	    0.074327	   -0.012246	   -0.017886	   -0.030132	   -0.045524	   -0.113354	   -0.158878	    0.008510	   -0.017351	   -0.008841	   -0.101014	   -0.102854	   -0.203868	   -0.115873	   -0.136628	   -0.252500	   -0.000745	   -0.008043	   -0.008788	    0.031017	    0.117034	    0.148051	    0.052329	    0.064614	    0.116944	   -0.003179	    0.001519	   -0.001660	    0.009157	    0.071347	    0.080504	    0.021517	    0.089418	    0.110935	    0.031415	    0.061339	    0.092754	   -0.049134	   -0.056956	   -0.106090	    0.068319	    0.058017	    0.126336
