 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 102931
ID		Version	11.0
Name	tristan_5	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     913
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   68.40	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.003329	    0.001810	    0.005139	    0.004169	    0.002875	    0.007044	    0.002795	    0.001785	    0.004580	    0.003028	   -0.000164	    0.002864	    0.002609	    0.001633	    0.004242	    0.004186	    0.002727	    0.006912	    0.001976	    0.004236	    0.006212	    0.002564	    0.002975	    0.005539	    0.004174	    0.003984	    0.008158	    0.005415	    0.002674	    0.008089	    0.003965	    0.001334	    0.005299	    0.005139	    0.001567	    0.006706	    0.009207	    0.007265	    0.016472	    0.003397	    0.003122	    0.006519	    0.002219	    0.000328	    0.002546	    0.002040	    0.001574	    0.003614	    0.007004	    0.006443	    0.013447	    0.003450	    0.003273	    0.006723	    0.002430	    0.002947	    0.005378	    0.010495	    0.008178	    0.018674	    0.007390	    0.006809	    0.014199	    0.001629	    0.001550	    0.003179
     0.150	0	0	    0	    0.002463	    0.003001	    0.005464	    0.003004	    0.003606	    0.006610	    0.003216	    0.002284	    0.005501	    0.003193	    0.000104	    0.003297	    0.003688	    0.002362	    0.006050	    0.002951	    0.003750	    0.006701	    0.000920	    0.003143	    0.004063	    0.001797	    0.004368	    0.006164	    0.003376	    0.004319	    0.007695	    0.005919	    0.003386	    0.009305	    0.003563	    0.002475	    0.006038	    0.006492	    0.002614	    0.009106	    0.010358	    0.009019	    0.019377	    0.003436	    0.001605	    0.005041	    0.000840	    0.000884	    0.001724	    0.001192	    0.002249	    0.003441	    0.004332	    0.008405	    0.012737	    0.002065	    0.002668	    0.004733	    0.000860	    0.001991	    0.002852	    0.009982	    0.007674	    0.017656	    0.006758	    0.008710	    0.015468	   -0.004623	    0.007741	    0.003118
     0.225	0	0	    0	    0.001919	    0.001771	    0.003690	    0.000927	    0.003574	    0.004501	    0.001981	    0.001944	    0.003924	    0.002992	   -0.000430	    0.002563	    0.002706	    0.003341	    0.006047	    0.001463	    0.003237	    0.004699	   -0.003821	    0.005619	    0.001798	    0.000767	    0.003977	    0.004745	    0.001752	    0.004739	    0.006491	    0.002917	    0.004053	    0.006970	    0.001147	    0.002441	    0.003588	    0.005259	    0.003454	    0.008713	    0.006461	    0.009978	    0.016439	   -0.000657	    0.004435	    0.003778	    0.000229	    0.000606	    0.000835	    0.000384	    0.002584	    0.002969	    0.002532	    0.008308	    0.010840	    0.001888	    0.001826	    0.003714	   -0.000155	    0.001323	    0.001167	    0.007142	    0.008909	    0.016051	    0.004995	    0.008081	    0.013075	    0.000877	    0.003949	    0.004826
     0.300	0	0	    0	    0.003201	    0.002116	    0.005317	    0.004803	    0.003821	    0.008623	    0.001239	   -0.000589	    0.000650	    0.006266	    0.000249	    0.006514	   -0.000946	    0.003050	    0.002104	   -0.001682	    0.006413	    0.004730	    0.002416	    0.002573	    0.004990	   -0.000078	    0.003897	    0.003819	    0.000101	    0.003068	    0.003169	   -0.021158	   -0.000252	   -0.021409	   -0.020388	   -0.003093	   -0.023481	   -0.002943	    0.005360	    0.002417	   -0.003056	    0.006504	    0.003448	   -0.005538	    0.005585	    0.000048	    0.004282	   -0.004164	    0.000118	    0.000581	    0.002776	    0.003357	    0.005004	    0.006406	    0.011410	    0.027870	    0.004123	    0.031993	    0.029716	    0.002643	    0.032358	    0.013978	    0.005233	    0.019211	    0.000947	    0.005765	    0.006711	    0.000840	    0.002263	    0.003103
     0.375	0	0	    0	    0.011788	   -0.000367	    0.011421	   -0.050572	    0.015941	   -0.034631	   -0.034256	    0.017541	   -0.016715	    0.005082	    0.013698	    0.018780	   -0.024969	    0.009242	   -0.015727	   -0.019914	    0.040566	    0.020651	    0.072844	    0.015936	    0.088781	   -0.001216	    0.008096	    0.006880	   -0.005300	   -0.010889	   -0.016189	   -0.136913	   -0.036299	   -0.173212	   -0.108213	   -0.037086	   -0.145298	   -0.065796	    0.001035	   -0.064761	   -0.053069	   -0.019443	   -0.072512	   -0.014041	   -0.001219	   -0.015261	    0.035347	    0.034227	    0.069574	    0.055083	   -0.000837	    0.054246	   -0.024832	    0.010604	   -0.014228	    0.088479	    0.029817	    0.118297	    0.179852	    0.059967	    0.239820	    0.020425	    0.011874	    0.032299	   -0.054382	    0.004847	   -0.049534	    0.103679	    0.024275	    0.127954
     0.450	0	0	    0	    0.060793	    0.037236	    0.098029	   -0.094252	   -0.010840	   -0.105092	   -0.066372	    0.044813	   -0.021559	    0.040110	    0.088221	    0.128330	   -0.391081	    0.008929	   -0.382152	   -0.350877	   -0.026209	   -0.377085	    0.154832	    0.100141	    0.254973	    0.021511	    0.032786	    0.054297	    0.044084	   -0.009543	    0.034542	   -0.176077	   -0.109493	   -0.285570	   -0.110649	   -0.065031	   -0.175679	   -0.161691	   -0.052297	   -0.213988	   -0.298864	   -0.123044	   -0.421908	    0.038323	    0.012569	    0.050892	    0.066929	    0.112798	    0.179727	    0.113545	    0.106402	    0.219947	   -0.034211	   -0.004046	   -0.038257	    0.091657	    0.084570	    0.176227	    0.227402	    0.182220	    0.409621	    0.035330	    0.034514	    0.069844	   -0.099660	   -0.059536	   -0.159196	    0.113850	    0.119885	    0.233735
     0.525	0	0	    0	    0.061019	    0.080359	    0.141378	   -0.129680	   -0.005488	   -0.135168	   -0.092396	    0.113992	    0.021596	    0.039292	    0.224494	    0.263786	   -0.365629	   -0.142529	   -0.508159	   -0.436799	   -0.124443	   -0.561242	    0.131974	    0.147707	    0.279680	   -0.029403	    0.079666	    0.050263	    0.038584	    0.016663	    0.055246	   -0.219137	   -0.145025	   -0.364162	   -0.108314	   -0.050822	   -0.159136	   -0.204108	   -0.031552	   -0.235660	   -0.322207	   -0.205773	   -0.527980	    0.027343	    0.040049	    0.067392	   -0.022666	    0.098178	    0.075512	    0.058705	    0.120851	    0.179556	   -0.065819	   -0.047237	   -0.113055	    0.061384	    0.056204	    0.117588	    0.221542	    0.216064	    0.437606	    0.035546	    0.047393	    0.082940	   -0.095955	   -0.064175	   -0.160129	    0.036927	    0.071506	    0.108433
     0.600	0	0	    0	    0.046970	    0.082902	    0.129872	   -0.034415	   -0.067401	   -0.101816	   -0.037830	    0.035138	   -0.002693	    0.030118	    0.276894	    0.307011	   -0.354172	   -0.144486	   -0.498658	    0.026887	   -0.277657	   -0.250770	    0.064750	    0.148760	    0.213510	   -0.087156	    0.003926	   -0.083230	    0.005771	   -0.002975	    0.002796	   -0.072530	   -0.199952	   -0.272482	   -0.049838	   -0.035611	   -0.085449	   -0.200861	   -0.042563	   -0.243424	   -0.208040	   -0.281748	   -0.489788	   -0.011048	    0.020859	    0.009812	   -0.027802	    0.003824	   -0.023978	    0.013800	    0.060174	    0.073974	   -0.041225	   -0.062387	   -0.103611	   -0.021923	    0.050021	    0.028098	    0.014962	    0.184006	    0.198968	   -0.023191	    0.058127	    0.034937	   -0.111675	   -0.072246	   -0.183921	    0.002675	    0.004409	    0.007084
