 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 102443
ID		Version	11.0
Name	tristan_5	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     913
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   68.40	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	   -0.004436	    0.000992	   -0.003444	   -0.004520	   -0.000673	   -0.005193	   -0.002812	    0.000281	   -0.002531	   -0.000819	   -0.000078	   -0.000897	   -0.002048	   -0.000882	   -0.002930	   -0.002015	   -0.002149	   -0.004164	   -0.003015	    0.002481	   -0.000534	   -0.001976	   -0.000707	   -0.002683	   -0.004258	    0.000575	   -0.003684	   -0.004094	   -0.000667	   -0.004761	   -0.000376	   -0.001037	   -0.001412	   -0.002831	   -0.000328	   -0.003159	   -0.006254	    0.000451	   -0.005803	    0.004038	   -0.005811	   -0.001773	    0.001224	   -0.000775	    0.000450	   -0.001998	    0.000633	   -0.001366	   -0.003181	   -0.001683	   -0.004864	    0.000949	   -0.002616	   -0.001667	    0.000288	   -0.001700	   -0.001412	   -0.005296	   -0.000871	   -0.006167	   -0.005347	    0.000749	   -0.004597	    0.001715	   -0.001703	    0.000012
     0.150	0	0	    0	    0.001233	   -0.002512	   -0.001278	    0.015626	   -0.002511	    0.013115	    0.004535	   -0.001143	    0.003391	    0.000078	   -0.001773	   -0.001695	    0.000449	   -0.001716	   -0.001268	    0.013540	   -0.002745	    0.010795	    0.008857	   -0.000959	    0.007898	    0.001537	   -0.003263	   -0.001726	    0.004780	   -0.000875	    0.003906	    0.011569	   -0.001509	    0.010060	    0.006315	   -0.001067	    0.005248	    0.000483	   -0.002131	   -0.001648	    0.010479	   -0.002371	    0.008108	    0.015652	   -0.005031	    0.010622	    0.002134	    0.002242	    0.004376	    0.003488	   -0.001218	    0.002270	    0.007122	   -0.003541	    0.003581	    0.013258	    0.000399	    0.013657	    0.010822	   -0.000080	    0.010742	    0.008431	   -0.002747	    0.005684	    0.009797	   -0.001185	    0.008612	    0.004187	    0.000782	    0.004970
     0.225	0	0	    0	    0.006974	   -0.001640	    0.005334	    0.021258	    0.003139	    0.024396	    0.007871	    0.001584	    0.009455	    0.002774	   -0.000904	    0.001870	    0.006129	    0.000347	    0.006476	    0.017157	    0.003633	    0.020790	    0.006650	    0.005529	    0.012179	    0.005782	   -0.003589	    0.002193	    0.011557	    0.000618	    0.012174	    0.016746	    0.004601	    0.021347	    0.009163	    0.000523	    0.009686	    0.007775	   -0.000373	    0.007402	    0.017168	    0.004850	    0.022017	    0.016086	   -0.001588	    0.014498	    0.007336	   -0.001434	    0.005902	    0.006737	    0.000499	    0.007236	    0.013782	    0.001871	    0.015653	    0.017582	    0.002654	    0.020236	    0.012755	    0.002505	    0.015260	    0.015978	    0.002732	    0.018710	    0.013258	    0.006210	    0.019469	    0.005679	    0.000420	    0.006099
     0.300	0	0	    0	    0.007658	   -0.000454	    0.007205	    0.019328	    0.004596	    0.023924	    0.008637	    0.001679	    0.010315	    0.003572	   -0.000015	    0.003558	    0.007843	    0.001529	    0.009372	    0.016761	    0.005160	    0.021921	    0.005842	    0.005774	    0.011617	    0.005871	   -0.002120	    0.003751	    0.011237	    0.001941	    0.013178	    0.016227	    0.005731	    0.021958	    0.008463	    0.001395	    0.009857	    0.008656	    0.001496	    0.010152	    0.018701	    0.004644	    0.023345	    0.015482	   -0.001212	    0.014270	    0.005129	    0.000782	    0.005911	    0.007703	    0.000552	    0.008255	    0.016216	    0.001451	    0.017667	    0.016299	    0.003441	    0.019740	    0.012071	    0.002671	    0.014742	    0.017372	    0.003062	    0.020434	    0.015923	    0.004100	    0.020023	    0.006977	   -0.000614	    0.006362
     0.375	0	0	    0	    0.004854	    0.000439	    0.005293	    0.016831	    0.003159	    0.019990	    0.007858	    0.000582	    0.008440	    0.003720	    0.000729	    0.004449	    0.006623	    0.001563	    0.008186	    0.016132	    0.001866	    0.017998	    0.012195	   -0.001947	    0.010248	    0.004110	   -0.002673	    0.001437	    0.008844	    0.000941	    0.009786	    0.014014	    0.003162	    0.017176	    0.008187	    0.000395	    0.008583	    0.006633	    0.002101	    0.008734	    0.012941	    0.003307	    0.016248	    0.014024	   -0.004380	    0.009645	    0.005026	    0.001304	    0.006330	    0.006564	    0.001030	    0.007594	    0.013049	    0.000590	    0.013640	    0.014791	    0.002897	    0.017688	    0.011003	    0.002510	    0.013513	    0.015323	    0.003143	    0.018467	    0.011102	    0.002548	    0.013650	    0.005447	    0.001330	    0.006777
     0.450	0	0	    0	    0.004470	   -0.000277	    0.004193	    0.014716	    0.004227	    0.018943	    0.004213	    0.002534	    0.006746	    0.003651	    0.000945	    0.004596	    0.006817	    0.001205	    0.008021	    0.017815	    0.000992	    0.018807	    0.008088	    0.001429	    0.009517	    0.003445	   -0.001290	    0.002156	    0.008785	    0.001109	    0.009894	    0.035058	   -0.006507	    0.028551	    0.051856	   -0.021323	    0.030533	    0.008262	    0.001071	    0.009333	    0.017601	    0.000928	    0.018529	    0.013456	   -0.002551	    0.010905	    0.002389	    0.002722	    0.005111	    0.006948	    0.001083	    0.008031	    0.011636	    0.002699	    0.014335	   -0.035385	    0.016684	   -0.018701	   -0.079371	    0.029214	   -0.050157	    0.012391	    0.004384	    0.016775	    0.011405	    0.003227	    0.014631	    0.002228	    0.003042	    0.005270
     0.525	0	0	    0	    0.004065	   -0.000545	    0.003520	    0.014124	    0.004419	    0.018543	   -0.001041	    0.000007	   -0.001034	   -0.012516	   -0.006840	   -0.019355	    0.011123	   -0.000587	    0.010536	    0.010659	    0.003315	    0.013974	    0.000181	    0.001837	    0.002018	    0.003574	   -0.002596	    0.000977	    0.030352	    0.008384	    0.038737	    0.061426	    0.068651	    0.130077	    0.077053	    0.068806	    0.145859	    0.031492	    0.025097	    0.056589	    0.110012	    0.061435	    0.171447	    0.031233	    0.005677	    0.036910	    0.002366	   -0.000069	    0.002297	    0.015872	    0.001281	    0.017152	   -0.009531	    0.019030	    0.009499	   -0.067717	   -0.062890	   -0.130608	   -0.122867	   -0.087876	   -0.210744	   -0.070716	   -0.015767	   -0.086483	    0.047773	    0.019388	    0.067161	    0.013860	    0.000086	    0.013946
     0.600	0	0	    0	    0.002446	   -0.001545	    0.000901	    0.014221	    0.010331	    0.024552	    0.005165	    0.004392	    0.009557	   -0.012794	   -0.011928	   -0.024723	    0.017376	   -0.000177	    0.017198	    0.001291	    0.002706	    0.003997	    0.003733	   -0.000012	    0.003721	    0.002959	   -0.009370	   -0.006411	    0.039040	    0.025957	    0.064997	    0.058007	    0.056571	    0.114577	    0.063015	    0.097763	    0.160779	   -0.012248	    0.037484	    0.025236	    0.101318	    0.107952	    0.209270	    0.046695	    0.021228	    0.067923	    0.004075	    0.006637	    0.010713	    0.022480	    0.000694	    0.023175	   -0.023802	   -0.025826	   -0.049627	   -0.051906	   -0.058748	   -0.110654	   -0.086943	   -0.093801	   -0.180743	   -0.064119	   -0.071263	   -0.135381	    0.015816	    0.041654	    0.057470	    0.036393	    0.015316	    0.051710
