 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 102306
ID		Version	11.0
Name	tristan_5	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     822
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   61.58	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.018763	    0.022839	    0.041602	   -0.017097	    0.007094	   -0.010003	   -0.068835	    0.044510	   -0.024325	   -0.049439	    0.053776	    0.004337	   -0.113816	   -0.031483	   -0.145299	   -0.071645	   -0.095505	   -0.167150	    0.005046	    0.018728	    0.023774	   -0.002565	   -0.000267	   -0.002832	    0.015091	    0.008577	    0.023668	   -0.013254	   -0.025052	   -0.038306	   -0.013331	   -0.013309	   -0.026640	   -0.054533	   -0.014987	   -0.069520	   -0.051226	   -0.029656	   -0.080882	    0.003624	    0.004891	    0.008515	    0.003459	   -0.001072	    0.002387	    0.000556	    0.002127	    0.002683	    0.007342	   -0.000005	    0.007337	    0.008401	    0.036597	    0.044998	   -0.002029	    0.057741	    0.055712	    0.011858	    0.002154	    0.014012	    0.004256	    0.005155	    0.009411	   -0.001190	   -0.004285	   -0.005475
     0.150	0	0	    0	    0.007976	    0.040241	    0.048217	   -0.005518	    0.000858	   -0.004660	    0.003973	    0.000477	    0.004450	   -0.051585	    0.062775	    0.011190	   -0.095421	   -0.078055	   -0.173475	    0.096440	   -0.143126	   -0.046686	   -0.012623	    0.018119	    0.005495	   -0.003937	   -0.003394	   -0.007331	    0.001030	    0.017833	    0.018862	    0.043086	   -0.045774	   -0.002687	    0.043898	   -0.000930	    0.042968	   -0.057552	   -0.021965	   -0.079517	   -0.015124	   -0.057063	   -0.072186	    0.001304	    0.006523	    0.007827	   -0.001936	    0.000835	   -0.001101	   -0.005488	    0.002138	   -0.003349	   -0.004345	    0.003945	   -0.000400	   -0.103848	    0.032825	   -0.071023	   -0.177978	    0.046828	   -0.131150	   -0.007946	    0.008430	    0.000484	   -0.007541	    0.009553	    0.002012	    0.001242	   -0.002526	   -0.001285
     0.225	0	0	    0	   -0.081157	   -0.008352	   -0.089510	    0.016298	    0.000697	    0.016995	   -0.021926	   -0.071837	   -0.093763	   -0.060548	   -0.041026	   -0.101574	    0.172403	   -0.004394	    0.168009	    0.298927	   -0.003513	    0.295414	   -0.063223	   -0.034700	   -0.097924	   -0.000051	   -0.006453	   -0.006504	   -0.038404	    0.006067	   -0.032337	    0.242838	    0.117795	    0.360633	    0.065466	    0.037221	    0.102687	    0.114265	   -0.004309	    0.109957	    0.140269	    0.002859	    0.143129	    0.009241	    0.020944	    0.030185	   -0.004740	   -0.000785	   -0.005525	   -0.004702	   -0.007043	   -0.011745	   -0.042928	    0.006487	   -0.036441	   -0.206449	   -0.092516	   -0.298965	   -0.316049	   -0.181162	   -0.497211	   -0.103839	   -0.013783	   -0.117622	   -0.010545	    0.004328	   -0.006217	    0.000021	   -0.003169	   -0.003148
     0.300	0	0	    0	   -0.082713	   -0.065853	   -0.148566	    0.023366	   -0.001819	    0.021547	    0.007232	   -0.078471	   -0.071239	   -0.040436	   -0.122655	   -0.163090	    0.182514	    0.027162	    0.209676	    0.274556	    0.019503	    0.294059	   -0.036727	   -0.050102	   -0.086829	   -0.000198	    0.005741	    0.005543	   -0.061356	    0.012602	   -0.048754	    0.123931	    0.165896	    0.289827	   -0.007745	    0.009646	    0.001901	    0.100525	    0.099148	    0.199674	    0.084705	    0.096633	    0.181338	   -0.006456	    0.019974	    0.013518	   -0.003498	   -0.002001	   -0.005499	   -0.006866	   -0.013799	   -0.020664	   -0.018780	    0.008705	   -0.010075	   -0.057020	   -0.089663	   -0.146683	   -0.087752	   -0.158407	   -0.246159	   -0.076174	   -0.060723	   -0.136896	   -0.013665	    0.028463	    0.014798	   -0.006189	   -0.003710	   -0.009900
     0.375	0	0	    0	   -0.010105	   -0.031490	   -0.041595	   -0.000414	    0.013022	    0.012609	   -0.018847	   -0.020823	   -0.039670	   -0.059543	   -0.055656	   -0.115199	    0.041258	    0.053684	    0.094943	    0.096773	    0.064731	    0.161503	   -0.009664	   -0.005703	   -0.015367	   -0.009537	   -0.003482	   -0.013020	   -0.011262	    0.002682	   -0.008580	    0.036876	    0.058926	    0.095802	   -0.017104	   -0.034852	   -0.051956	   -0.047592	    0.019181	   -0.028411	    0.024225	    0.037507	    0.061731	   -0.007700	    0.008915	    0.001215	   -0.003293	    0.000560	   -0.002733	   -0.006467	   -0.011798	   -0.018265	   -0.006415	    0.020565	    0.014150	   -0.012027	    0.010949	   -0.001078	   -0.017516	    0.010133	   -0.007384	   -0.022298	   -0.026379	   -0.048676	   -0.015515	    0.017071	    0.001557	   -0.007352	   -0.006460	   -0.013811
     0.450	0	0	    0	   -0.014952	    0.013287	   -0.001665	   -0.002187	    0.010361	    0.008174	   -0.007988	    0.002898	   -0.005091	   -0.052000	    0.025072	   -0.026928	   -0.054415	   -0.019839	   -0.074255	    0.144860	   -0.044407	    0.100453	   -0.017732	    0.006957	   -0.010776	   -0.009979	   -0.007962	   -0.017941	   -0.015553	    0.018356	    0.002803	    0.062948	    0.010776	    0.073723	    0.016843	   -0.013703	    0.003140	   -0.066722	   -0.029081	   -0.095803	    0.005795	   -0.028098	   -0.022303	   -0.005146	    0.006904	    0.001758	   -0.004530	    0.000016	   -0.004514	   -0.013704	   -0.010341	   -0.024045	   -0.014362	    0.020979	    0.006617	   -0.088319	    0.026961	   -0.061359	   -0.118155	    0.029503	   -0.088651	   -0.033882	   -0.001809	   -0.035691	   -0.023442	    0.008035	   -0.015407	    0.001246	   -0.008143	   -0.006897
     0.525	0	0	    0	   -0.077011	   -0.016563	   -0.093574	    0.023428	    0.001197	    0.024625	    0.008430	   -0.025426	   -0.016996	   -0.062399	    0.001199	   -0.061201	    0.055824	   -0.011094	    0.044729	    0.272234	    0.009158	    0.281391	   -0.032751	   -0.019476	   -0.052227	    0.009140	   -0.010209	   -0.001069	   -0.016817	    0.018562	    0.001745	    0.243323	    0.108374	    0.351698	    0.025650	    0.009868	    0.035517	   -0.017115	   -0.035970	   -0.053085	    0.087503	    0.005601	    0.093104	    0.031179	    0.002885	    0.034063	   -0.001654	    0.018719	    0.017065	    0.003383	   -0.022919	   -0.019536	   -0.038175	    0.027989	   -0.010187	   -0.176892	   -0.069747	   -0.246639	   -0.224306	   -0.097155	   -0.321461	   -0.065801	   -0.022800	   -0.088601	   -0.014365	    0.006744	   -0.007621	    0.025765	   -0.002517	    0.023248
     0.600	0	0	    0	   -0.075955	   -0.053756	   -0.129711	    0.027092	    0.005873	    0.032965	    0.013223	   -0.030406	   -0.017183	   -0.062704	   -0.055111	   -0.117815	    0.094984	    0.028762	    0.123746	    0.267561	    0.035242	    0.302804	   -0.022175	   -0.028097	   -0.050272	    0.010277	    0.022985	    0.033262	   -0.025704	    0.044936	    0.019232	    0.188569	    0.187770	    0.376339	    0.003696	    0.015029	    0.018725	    0.026386	    0.015909	    0.042296	    0.098960	    0.072173	    0.171133	    0.002153	    0.029170	    0.031323	   -0.006505	    0.031585	    0.025080	    0.011315	   -0.014271	   -0.002956	   -0.022156	    0.020072	   -0.002084	   -0.115950	   -0.106076	   -0.222026	   -0.160141	   -0.135188	   -0.295330	   -0.059850	   -0.061215	   -0.121065	    0.004307	    0.027007	    0.031314	    0.025342	    0.010019	    0.035361
