 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 103339
ID		Version	11.0
Name	tristan_6	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     816
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   61.13	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	   -0.003373	   -0.003717	   -0.007090	    0.001296	    0.002872	    0.004168	    0.000028	   -0.001957	   -0.001929	   -0.000365	   -0.009121	   -0.009486	    0.012814	   -0.001513	    0.011302	    0.013946	    0.002880	    0.016826	   -0.003051	   -0.002048	   -0.005098	    0.000281	   -0.002354	   -0.002073	   -0.000207	    0.004457	    0.004251	    0.007285	    0.012123	    0.019408	    0.002579	    0.002375	    0.004954	    0.011828	   -0.000161	    0.011668	    0.005753	    0.005786	    0.011539	   -0.003957	    0.000562	   -0.003395	   -0.000384	   -0.000272	   -0.000656	    0.001203	   -0.000065	    0.001139	   -0.002484	    0.005491	    0.003008	   -0.002172	   -0.003330	   -0.005501	   -0.004704	   -0.006716	   -0.011419	   -0.000353	    0.001812	    0.001460	   -0.000321	    0.002237	    0.001917	    0.000869	    0.002536	    0.003405
     0.150	0	0	    0	   -0.006105	   -0.005588	   -0.011694	    0.000897	    0.002978	    0.003875	   -0.003172	   -0.002869	   -0.006041	   -0.003296	   -0.016780	   -0.020076	    0.021890	   -0.003581	    0.018309	    0.031378	    0.000053	    0.031431	   -0.009074	   -0.004734	   -0.013808	    0.000902	   -0.004066	   -0.003165	   -0.003372	    0.005890	    0.002518	    0.021348	    0.013205	    0.034553	    0.007717	    0.004360	    0.012077	    0.016227	   -0.000147	    0.016080	    0.006970	    0.008601	    0.015571	   -0.005883	   -0.004738	   -0.010621	   -0.003981	    0.002478	   -0.001503	   -0.000028	    0.000642	    0.000614	   -0.003442	    0.005454	    0.002012	   -0.028081	   -0.002412	   -0.030493	   -0.042514	   -0.004838	   -0.047353	   -0.007788	    0.004618	   -0.003170	   -0.003877	    0.004342	    0.000465	    0.000149	    0.001857	    0.002006
     0.225	0	0	    0	   -0.023684	   -0.010457	   -0.034141	    0.002798	    0.001365	    0.004164	   -0.015592	   -0.019119	   -0.034711	   -0.033136	   -0.035632	   -0.068768	    0.051833	   -0.017433	    0.034400	    0.082386	   -0.014714	    0.067671	   -0.022249	   -0.016302	   -0.038551	    0.008852	   -0.000601	    0.008251	   -0.007926	    0.010559	    0.002633	    0.046962	    0.041244	    0.088206	    0.014749	    0.009029	    0.023778	    0.056112	   -0.001827	    0.054285	    0.022637	    0.018771	    0.041407	    0.003236	    0.003110	    0.006346	   -0.001091	   -0.000414	   -0.001504	   -0.000656	   -0.001027	   -0.001684	   -0.013814	    0.009058	   -0.004756	   -0.059119	   -0.022563	   -0.081682	   -0.116409	   -0.050616	   -0.167024	   -0.027674	   -0.004574	   -0.032248	    0.012278	    0.006127	    0.018406	   -0.002050	    0.002271	    0.000221
     0.300	0	0	    0	   -0.035790	   -0.029492	   -0.065282	    0.006021	    0.003831	    0.009852	   -0.019489	   -0.034301	   -0.053790	   -0.053623	   -0.106838	   -0.160462	    0.069046	   -0.037090	    0.031955	    0.088960	   -0.008340	    0.080620	   -0.041381	   -0.015818	   -0.057199	    0.013801	    0.009227	    0.023028	   -0.017116	    0.017108	   -0.000008	    0.041988	    0.055351	    0.097339	    0.014705	    0.010608	    0.025313	    0.067448	    0.011959	    0.079407	    0.038881	    0.048281	    0.087162	   -0.012167	    0.016229	    0.004062	   -0.001634	   -0.000394	   -0.002028	   -0.001855	   -0.002266	   -0.004120	   -0.020556	    0.010791	   -0.009766	   -0.071321	   -0.035533	   -0.106854	   -0.135437	   -0.087331	   -0.222768	   -0.037964	   -0.009599	   -0.047563	    0.014105	    0.028535	    0.042640	   -0.001622	   -0.000827	   -0.002449
     0.375	0	0	    0	   -0.037622	   -0.038761	   -0.076383	    0.005354	    0.005416	    0.010770	   -0.020421	   -0.041169	   -0.061590	   -0.053102	   -0.139053	   -0.192155	    0.068836	   -0.041842	    0.026994	    0.085832	   -0.004250	    0.081582	   -0.027807	   -0.029665	   -0.057472	    0.011599	    0.011265	    0.022865	   -0.026438	    0.015436	   -0.011002	    0.004183	    0.057140	    0.061323	   -0.014748	    0.002806	   -0.011942	    0.062376	    0.007713	    0.070090	    0.015732	    0.060284	    0.076016	   -0.015871	    0.007004	   -0.008867	   -0.005053	   -0.003585	   -0.008638	   -0.000545	   -0.003653	   -0.004198	   -0.030901	    0.014279	   -0.016622	   -0.036940	   -0.035066	   -0.072005	   -0.073325	   -0.086596	   -0.159921	   -0.035202	   -0.013930	   -0.049132	    0.001365	    0.032386	    0.033752	   -0.003810	   -0.000590	   -0.004401
     0.450	0	0	    0	   -0.009664	   -0.035257	   -0.044921	   -0.032835	    0.017476	   -0.015360	   -0.037639	   -0.019136	   -0.056775	   -0.023692	   -0.130421	   -0.154113	    0.037043	   -0.029402	    0.007641	    0.007546	    0.041172	    0.048718	    0.003918	   -0.006132	   -0.002214	    0.002164	    0.006678	    0.008841	   -0.017372	   -0.002738	   -0.020110	   -0.105397	   -0.003012	   -0.108409	   -0.063385	   -0.028624	   -0.092009	   -0.006988	    0.000608	   -0.006380	    0.000990	    0.014558	    0.015549	   -0.010377	    0.003633	   -0.006744	   -0.007109	   -0.003607	   -0.010717	    0.002976	    0.000995	    0.003971	   -0.042312	   -0.014640	   -0.056952	    0.008505	    0.000729	    0.009233	    0.029334	   -0.008707	    0.020627	   -0.001716	   -0.004840	   -0.006556	   -0.015098	    0.010375	   -0.004724	   -0.002943	    0.001225	   -0.001718
     0.525	0	0	    0	    0.029293	    0.015797	    0.045090	   -0.071357	    0.018068	   -0.053289	   -0.057423	    0.043662	   -0.013762	    0.006053	   -0.014267	   -0.008214	   -0.145115	    0.028169	   -0.116946	   -0.260661	   -0.034529	   -0.295189	    0.019751	    0.026576	    0.046327	   -0.002788	    0.000067	   -0.002721	   -0.006888	   -0.000724	   -0.007613	   -0.134877	   -0.059560	   -0.194437	   -0.049996	   -0.008148	   -0.058144	   -0.055992	   -0.016434	   -0.072426	   -0.119082	   -0.012073	   -0.131155	   -0.015815	    0.005073	   -0.010741	   -0.005002	   -0.001573	   -0.006575	    0.003105	    0.004818	    0.007923	   -0.042774	   -0.032237	   -0.075010	    0.020389	    0.026719	    0.047108	    0.054449	    0.056324	    0.110773	    0.013225	    0.013869	    0.027094	   -0.016326	   -0.010218	   -0.026543	    0.000340	    0.001212	    0.001552
     0.600	0	0	    0	    0.034566	    0.050179	    0.084746	   -0.077589	    0.010974	   -0.066615	   -0.077372	    0.080905	    0.003533	   -0.002886	    0.097425	    0.094538	   -0.208905	   -0.050319	   -0.259224	   -0.315953	   -0.137930	   -0.453883	    0.027038	    0.036330	    0.063368	   -0.003057	   -0.001486	   -0.004543	   -0.000755	    0.002922	    0.002167	   -0.137719	   -0.071787	   -0.209506	   -0.060872	    0.014789	   -0.046083	   -0.104327	   -0.007276	   -0.111603	   -0.168980	   -0.052794	   -0.221774	   -0.008767	    0.003333	   -0.005434	    0.001159	   -0.001594	   -0.000435	    0.006485	    0.006651	    0.013136	   -0.036495	   -0.037502	   -0.073997	    0.031631	    0.029590	    0.061221	    0.060843	    0.065360	    0.126203	    0.014007	    0.018734	    0.032741	   -0.011388	   -0.009947	   -0.021335	    0.006435	    0.002211	    0.008646
