 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 103628
ID		Version	11.0
Name	tristan_6	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     834
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   62.48	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.003345	    0.001538	    0.004884	    0.013438	    0.000664	    0.014103	    0.006722	   -0.000558	    0.006164	    0.004611	    0.000991	    0.005603	    0.004265	    0.001972	    0.006236	    0.010151	    0.003703	    0.013854	    0.007600	    0.006736	    0.014336	    0.003652	    0.000666	    0.004318	    0.007240	    0.000463	    0.007703	    0.016797	    0.000733	    0.017531	    0.009702	   -0.000037	    0.009664	    0.005146	    0.003477	    0.008624	    0.016107	   -0.001490	    0.014617	    0.008043	    0.005632	    0.013674	    0.003572	    0.000264	    0.003837	    0.004821	   -0.000702	    0.004119	    0.012601	   -0.001981	    0.010619	    0.017501	    0.004950	    0.022451	    0.014906	    0.004427	    0.019333	    0.016279	   -0.000209	    0.016070	    0.011774	   -0.001173	    0.010601	    0.005354	   -0.001874	    0.003480
     0.150	0	0	    0	    0.003843	    0.001489	    0.005332	    0.016900	    0.002865	    0.019765	    0.010899	    0.002082	    0.012982	    0.005025	    0.001383	    0.006408	    0.006176	    0.002241	    0.008418	    0.015524	    0.004961	    0.020485	    0.011724	    0.005207	    0.016932	    0.003360	    0.001310	    0.004670	    0.011435	    0.000874	    0.012308	    0.020445	    0.005419	    0.025864	    0.012524	    0.001729	    0.014253	    0.005942	    0.004420	    0.010362	    0.023009	    0.003084	    0.026093	    0.009702	    0.008215	    0.017917	    0.005732	   -0.001202	    0.004530	    0.006482	    0.000321	    0.006803	    0.019534	    0.000924	    0.020458	    0.020809	    0.007680	    0.028489	    0.019146	    0.005501	    0.024647	    0.024872	    0.003983	    0.028855	    0.018826	    0.001824	    0.020651	    0.005622	   -0.000371	    0.005251
     0.225	0	0	    0	    0.004923	    0.000494	    0.005416	    0.017174	    0.003488	    0.020662	    0.012319	    0.000853	    0.013171	    0.003963	    0.000898	    0.004861	    0.006405	    0.001622	    0.008027	    0.013888	    0.007078	    0.020966	    0.003003	    0.012133	    0.015136	    0.002099	    0.000942	    0.003041	    0.011114	    0.001835	    0.012949	    0.021010	    0.005783	    0.026793	    0.012819	    0.001024	    0.013844	    0.003652	    0.004169	    0.007821	    0.023002	    0.004638	    0.027640	    0.010820	    0.006993	    0.017813	    0.005129	   -0.001858	    0.003271	    0.006677	    0.000990	    0.007667	    0.018618	    0.002926	    0.021544	    0.021985	    0.006795	    0.028780	    0.018112	    0.006606	    0.024718	    0.025169	    0.004797	    0.029967	    0.018253	    0.002333	    0.020587	    0.007149	   -0.001813	    0.005336
     0.300	0	0	    0	    0.025996	    0.004415	    0.030411	    0.018904	    0.002634	    0.021538	    0.010214	    0.000513	    0.010726	    0.021686	    0.004249	    0.025935	   -0.005053	    0.006627	    0.001574	    0.011253	    0.008653	    0.019906	    0.009400	    0.007854	    0.017254	   -0.002333	    0.001375	   -0.000958	    0.009647	    0.001291	    0.010938	   -0.000190	    0.007528	    0.007338	   -0.009206	    0.002732	   -0.006474	   -0.056595	   -0.003122	   -0.059717	    0.016296	    0.004605	    0.020902	    0.007189	    0.006894	    0.014082	    0.001140	    0.002039	    0.003179	    0.007450	    0.000774	    0.008224	    0.015700	    0.000684	    0.016384	    0.045489	    0.002826	    0.048315	    0.067328	   -0.003928	    0.063399	    0.025909	    0.003417	    0.029326	    0.014527	    0.001995	    0.016522	    0.006231	    0.000129	    0.006360
     0.375	0	0	    0	    0.056657	    0.040497	    0.097154	   -0.002192	    0.013451	    0.011259	    0.006641	    0.014507	    0.021147	    0.048988	    0.103471	    0.152459	   -0.145442	    0.079816	   -0.065625	   -0.027092	    0.058348	    0.031257	    0.042535	    0.019836	    0.062371	   -0.005539	   -0.004115	   -0.009655	    0.008390	   -0.005965	    0.002425	   -0.096660	   -0.033221	   -0.129881	   -0.042471	   -0.033786	   -0.076257	   -0.104520	   -0.021228	   -0.125748	    0.014862	   -0.003509	    0.011353	    0.017000	    0.002837	    0.019837	    0.003529	   -0.003299	    0.000230	    0.011954	    0.004922	    0.016876	    0.008475	   -0.014480	   -0.006005	    0.100597	    0.043119	    0.143716	    0.182480	    0.080583	    0.263063	    0.054116	    0.006968	    0.061084	    0.004723	   -0.004982	   -0.000259	    0.006673	    0.001516	    0.008189
     0.450	0	0	    0	    0.069104	    0.078605	    0.147710	   -0.035391	    0.007152	   -0.028239	   -0.016177	    0.049850	    0.033673	    0.052328	    0.207217	    0.259544	   -0.224203	    0.002189	   -0.222013	   -0.254664	    0.075331	   -0.179333	    0.059171	    0.056596	    0.115767	   -0.006909	   -0.006979	   -0.013887	    0.012235	   -0.007785	    0.004450	   -0.133586	   -0.089979	   -0.223565	   -0.041627	   -0.028522	   -0.070149	   -0.138032	   -0.013461	   -0.151493	   -0.074564	    0.000081	   -0.074483	    0.016266	    0.015544	    0.031810	    0.003907	   -0.000669	    0.003238	    0.013279	    0.009568	    0.022848	    0.013854	   -0.025045	   -0.011192	    0.119581	    0.077584	    0.197165	    0.216843	    0.148566	    0.365409	    0.078376	    0.023969	    0.102345	    0.010749	   -0.019543	   -0.008794	    0.008362	    0.003845	    0.012208
     0.525	0	0	    0	    0.070022	    0.090102	    0.160124	   -0.059225	    0.014879	   -0.044346	   -0.036024	    0.103108	    0.067084	    0.044245	    0.239494	    0.283738	   -0.238785	   -0.011468	   -0.250254	   -0.317413	   -0.026549	   -0.343962	    0.062869	    0.058030	    0.120900	   -0.006947	   -0.007496	   -0.014443	    0.015832	   -0.003765	    0.012067	   -0.148740	   -0.097836	   -0.246576	   -0.061024	    0.003328	   -0.057696	   -0.156718	   -0.012726	   -0.169444	   -0.093500	   -0.052775	   -0.146275	    0.012913	    0.008967	    0.021880	    0.006952	    0.001217	    0.008170	    0.013559	    0.011986	    0.025545	    0.013626	   -0.028556	   -0.014929	    0.112832	    0.087714	    0.200545	    0.200034	    0.162893	    0.362927	    0.070234	    0.031398	    0.101632	    0.013677	   -0.021796	   -0.008119	    0.008574	    0.004138	    0.012712
     0.600	0	0	    0	    0.064233	    0.087040	    0.151273	   -0.066799	    0.013392	   -0.053408	   -0.041277	    0.111022	    0.069745	    0.044923	    0.239405	    0.284329	   -0.238154	   -0.011040	   -0.249194	   -0.315709	   -0.050146	   -0.365854	    0.056636	    0.067126	    0.123762	   -0.009128	   -0.007854	   -0.016982	    0.015535	   -0.001184	    0.014351	   -0.154247	   -0.100404	   -0.254651	   -0.065644	    0.005410	   -0.060234	   -0.162296	   -0.018159	   -0.180455	   -0.104592	   -0.060768	   -0.165359	    0.008515	    0.011648	    0.020163	    0.006831	    0.003388	    0.010219	    0.012648	    0.013001	    0.025649	    0.008419	   -0.029470	   -0.021051	    0.097706	    0.088225	    0.185931	    0.175493	    0.157486	    0.332979	    0.055674	    0.024664	    0.080338	    0.008332	   -0.021797	   -0.013465	    0.004825	    0.004406	    0.009231
