 [File Information]      		 [Data Line]	36
Measured Date	2024/05/27 100721
ID		Version	11.0
Name	oceane_7	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     820
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   61.43	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.002220	   -0.002804	   -0.000583	   -0.001997	   -0.001667	   -0.003664	   -0.001583	    0.002567	    0.000983	   -0.000740	   -0.000443	   -0.001183	   -0.001326	    0.000268	   -0.001058	   -0.002083	    0.001536	   -0.000547	   -0.011102	    0.011857	    0.000755	    0.002378	   -0.004418	   -0.002040	   -0.001415	    0.001013	   -0.000402	    0.000153	    0.001573	    0.001727	    0.001058	   -0.001539	   -0.000481	   -0.000328	    0.000408	    0.000080	    0.000725	    0.000515	    0.001240	    0.000179	   -0.000550	   -0.000372	   -0.014658	    0.010470	   -0.004188	   -0.004905	    0.001388	   -0.003516	   -0.004596	    0.001398	   -0.003199	    0.001074	   -0.001820	   -0.000747	    0.000838	   -0.000889	   -0.000051	   -0.000280	   -0.000439	   -0.000718	    0.003389	    0.001543	    0.004932	    0.003933	    0.001581	    0.005514
     0.150	0	0	    0	    0.005924	   -0.003595	    0.002329	    0.006019	   -0.003112	    0.002907	    0.004517	    0.003210	    0.007727	    0.001825	   -0.001299	    0.000526	    0.006068	   -0.001606	    0.004462	    0.005994	    0.002632	    0.008626	    0.008871	   -0.004051	    0.004820	    0.005093	   -0.003386	    0.001707	    0.017117	   -0.004491	    0.012625	    0.007758	    0.002773	    0.010531	    0.005432	   -0.001489	    0.003943	    0.003200	   -0.000574	    0.002626	    0.015270	    0.000202	    0.015472	    0.008246	    0.001963	    0.010209	   -0.010374	    0.008466	   -0.001909	    0.014462	   -0.002618	    0.011844	    0.012286	   -0.003469	    0.008817	    0.007183	   -0.001151	    0.006032	    0.006989	   -0.000343	    0.006646	    0.010940	   -0.000210	    0.010730	    0.016652	    0.007816	    0.024468	    0.013072	    0.000374	    0.013446
     0.225	0	0	    0	    0.012622	   -0.008152	    0.004470	    0.010642	   -0.005519	    0.005123	    0.015619	   -0.004122	    0.011497	    0.008429	   -0.001170	    0.007258	    0.011151	   -0.000144	    0.011007	    0.017617	   -0.005405	    0.012212	    0.015609	   -0.010363	    0.005245	    0.008741	   -0.007525	    0.001217	    0.031256	   -0.000292	    0.030964	    0.012225	    0.004483	    0.016708	    0.007369	   -0.000857	    0.006512	    0.008716	    0.000829	    0.009545	    0.022643	    0.004053	    0.026696	    0.014462	   -0.005472	    0.008990	   -0.002177	    0.000399	   -0.001778	    0.024386	   -0.002173	    0.022213	    0.023384	    0.001041	    0.024425	    0.008964	   -0.000531	    0.008433	    0.009336	    0.000990	    0.010326	    0.016695	    0.002659	    0.019354	    0.018851	    0.010294	    0.029144	    0.006539	    0.004090	    0.010629
     0.300	0	0	    0	    0.001976	    0.001437	    0.003413	    0.009390	   -0.001983	    0.007408	    0.015751	   -0.002101	    0.013650	    0.007514	    0.000628	    0.008143	    0.009549	    0.003690	    0.013239	    0.014604	    0.002183	    0.016787	    0.012301	   -0.002128	    0.010173	    0.004551	   -0.003639	    0.000912	    0.030856	    0.005231	    0.036087	    0.013175	    0.005915	    0.019090	    0.007550	   -0.000707	    0.006843	    0.009962	    0.002297	    0.012259	    0.019944	    0.009386	    0.029330	    0.013978	    0.000990	    0.014967	   -0.008364	    0.005592	   -0.002772	    0.022264	   -0.001269	    0.020995	    0.025053	    0.004934	    0.029986	    0.009820	   -0.000174	    0.009647	    0.010672	    0.001322	    0.011994	    0.018554	    0.004876	    0.023430	    0.018304	    0.013876	    0.032179	    0.009646	    0.002831	    0.012477
     0.375	0	0	    0	    0.014117	   -0.010044	    0.004072	    0.009296	   -0.002615	    0.006681	    0.011980	    0.000703	    0.012683	    0.007309	    0.000890	    0.008199	    0.010865	    0.001700	    0.012565	    0.009441	    0.002610	    0.012051	    0.010110	    0.002412	    0.012522	    0.007833	   -0.011322	   -0.003489	    0.028996	    0.003430	    0.032426	    0.011347	    0.005908	    0.017254	    0.007682	   -0.001215	    0.006468	    0.009857	    0.002558	    0.012415	    0.022048	    0.005373	    0.027421	    0.012146	    0.000929	    0.013076	   -0.000807	   -0.000319	   -0.001126	    0.017175	   -0.003873	    0.013302	    0.023335	    0.005862	    0.029197	    0.009055	   -0.000270	    0.008785	    0.010598	    0.001333	    0.011931	    0.017342	    0.004279	    0.021621	    0.018747	    0.011590	    0.030336	    0.007178	    0.004552	    0.011730
     0.450	0	0	    0	    0.002867	    0.003207	    0.006074	    0.007729	   -0.002933	    0.004795	    0.010035	    0.001276	    0.011311	    0.008144	    0.000222	    0.008366	    0.011017	    0.001891	    0.012908	    0.007684	    0.001596	    0.009279	    0.004694	    0.002119	    0.006813	    0.003622	   -0.010658	   -0.007036	    0.027064	    0.005448	    0.032512	    0.011515	    0.006204	    0.017718	    0.008094	   -0.000876	    0.007218	    0.010058	    0.002471	    0.012529	    0.020351	    0.008164	    0.028515	    0.009543	    0.003887	    0.013431	   -0.003419	    0.002184	   -0.001235	    0.016465	   -0.005691	    0.010773	    0.024304	    0.005602	    0.029906	    0.009325	    0.000081	    0.009406	    0.011516	    0.001503	    0.013019	    0.017914	    0.003708	    0.021622	    0.018621	    0.012963	    0.031583	    0.015274	    0.000555	    0.015829
     0.525	0	0	    0	    0.014880	   -0.010999	    0.003881	    0.007097	   -0.002522	    0.004575	    0.006832	    0.004945	    0.011777	    0.009068	   -0.000309	    0.008759	    0.016129	    0.000901	    0.017030	    0.009257	    0.002323	    0.011581	   -0.007257	    0.012129	    0.004872	    0.003181	   -0.010332	   -0.007151	    0.027878	    0.004613	    0.032490	    0.011708	    0.006287	    0.017995	    0.007730	   -0.000350	    0.007380	    0.010949	    0.002491	    0.013440	    0.021682	    0.010178	    0.031859	    0.008502	    0.002570	    0.011072	    0.002780	   -0.003496	   -0.000715	    0.015594	   -0.006384	    0.009211	    0.024861	    0.006369	    0.031230	    0.009420	   -0.000391	    0.009029	    0.011544	    0.002004	    0.013548	    0.017807	    0.004685	    0.022491	    0.018155	    0.013932	    0.032087	    0.016311	   -0.001316	    0.014996
     0.600	0	0	    0	    0.013585	   -0.005417	    0.008168	    0.005541	   -0.002842	    0.002699	    0.009680	   -0.000455	    0.009225	    0.009840	   -0.001412	    0.008428	    0.014599	    0.001744	    0.016344	    0.005552	    0.003167	    0.008719	    0.004559	   -0.001637	    0.002922	    0.005526	   -0.016767	   -0.011241	    0.026708	    0.003417	    0.030125	    0.010766	    0.005854	    0.016620	    0.007610	   -0.000122	    0.007488	    0.010381	    0.002894	    0.013274	    0.023168	    0.009370	    0.032538	    0.010370	    0.000889	    0.011259	    0.000651	   -0.001686	   -0.001035	    0.012522	   -0.009267	    0.003255	    0.023375	    0.006292	    0.029667	    0.007709	    0.000244	    0.007952	    0.010747	    0.002196	    0.012943	    0.017323	    0.003969	    0.021292	    0.017766	    0.013309	    0.031076	    0.009188	    0.002304	    0.011492
