 [File Information]      		 [Data Line]	36
Measured Date	2024/05/27 094203
ID		Version	11.0
Name	oceane_1	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     865
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   64.80	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.000584	   -0.014563	   -0.013979	   -0.027612	   -0.006511	   -0.034123	    0.020246	    0.005229	    0.025475	   -0.001853	   -0.014025	   -0.015878	   -0.051168	   -0.020398	   -0.071567	   -0.023944	    0.009475	   -0.014470	    0.020496	    0.033885	    0.054381	   -0.007055	   -0.019302	   -0.026357	   -0.034905	    0.011660	   -0.023245	   -0.036768	    0.005680	   -0.031088	   -0.014251	   -0.007360	   -0.021612	   -0.026917	   -0.029961	   -0.056878	   -0.027445	    0.011226	   -0.016219	   -0.002997	   -0.002760	   -0.005757	   -0.002588	   -0.005996	   -0.008584	   -0.013849	    0.002887	   -0.010962	   -0.000659	    0.010569	    0.009910	   -0.028484	    0.009952	   -0.018532	    0.002577	   -0.006694	   -0.004117	    0.000304	    0.001341	    0.001645	   -0.026685	    0.001709	   -0.024976	   -0.011701	    0.036714	    0.025013
     0.150	0	0	    0	    0.021315	   -0.006574	    0.014741	   -0.021198	   -0.026600	   -0.047797	    0.033455	    0.005101	    0.038556	    0.025424	   -0.001965	    0.023459	   -0.064708	   -0.096031	   -0.160739	   -0.050610	   -0.021455	   -0.072065	    0.070188	    0.069775	    0.139962	    0.020035	   -0.003443	    0.016592	   -0.106463	   -0.033757	   -0.140219	   -0.092460	   -0.177494	   -0.269954	    0.016729	   -0.017030	   -0.000301	   -0.014206	   -0.043010	   -0.057217	   -0.125134	   -0.046142	   -0.171275	    0.018730	   -0.003032	    0.015698	    0.004778	   -0.009268	   -0.004490	   -0.049326	   -0.006283	   -0.055609	   -0.123106	   -0.079936	   -0.203042	   -0.063223	   -0.225049	   -0.288272	    0.026204	   -0.018008	    0.008196	   -0.059770	   -0.020642	   -0.080412	   -0.017002	   -0.003561	   -0.020563	    0.015996	    0.062913	    0.078909
     0.225	0	0	    0	    0.019412	    0.000746	    0.020159	   -0.008147	   -0.023528	   -0.031676	    0.052987	    0.020477	    0.073464	    0.033764	    0.018853	    0.052617	   -0.059323	   -0.110531	   -0.169854	   -0.058555	   -0.076405	   -0.134959	    0.113224	    0.065908	    0.179132	    0.028724	    0.022054	    0.050778	   -0.122816	   -0.069328	   -0.192144	   -0.081043	   -0.389699	   -0.470742	    0.037935	    0.015429	    0.053364	   -0.006764	   -0.033295	   -0.040060	   -0.122410	   -0.132319	   -0.254729	    0.049849	    0.022086	    0.071935	    0.019730	   -0.017564	    0.002167	   -0.063709	    0.006809	   -0.056901	   -0.147503	   -0.359052	   -0.506555	   -0.074201	   -0.381181	   -0.455382	    0.033667	   -0.011269	    0.022398	   -0.058930	   -0.045733	   -0.104663	    0.003510	    0.023773	    0.027283	    0.044297	    0.090846	    0.135143
     0.300	0	0	    0	    0.010473	    0.003568	    0.014040	   -0.006451	   -0.020023	   -0.026474	    0.055717	    0.021861	    0.077579	    0.016232	    0.013576	    0.029809	   -0.046825	   -0.104575	   -0.151401	   -0.044977	   -0.095805	   -0.140781	    0.107357	    0.075124	    0.182481	    0.011931	    0.025189	    0.037120	   -0.112794	   -0.078754	   -0.191548	   -0.073430	   -0.445694	   -0.519124	    0.019701	    0.024171	    0.043871	    0.002804	   -0.024425	   -0.021622	   -0.115897	   -0.144046	   -0.259943	    0.048372	    0.036327	    0.084699	   -0.011409	    0.007586	   -0.003823	   -0.066714	    0.004463	   -0.062251	   -0.152973	   -0.448283	   -0.601256	   -0.090709	   -0.421347	   -0.512057	    0.017756	   -0.006111	    0.011644	   -0.064877	   -0.041573	   -0.106450	   -0.011959	    0.039709	    0.027750	   -0.025278	    0.109775	    0.084497
     0.375	0	0	    0	   -0.006704	    0.003826	   -0.002878	   -0.010397	   -0.014485	   -0.024882	    0.036452	    0.003798	    0.040250	   -0.000167	   -0.001189	   -0.001356	   -0.029398	   -0.078142	   -0.107540	   -0.039360	   -0.078296	   -0.117656	    0.100725	    0.050208	    0.150933	    0.009546	    0.012194	    0.021739	   -0.092971	   -0.062065	   -0.155036	   -0.067183	   -0.439164	   -0.506347	   -0.004323	    0.003580	   -0.000744	    0.008650	   -0.013272	   -0.004622	   -0.079466	   -0.128776	   -0.208242	    0.026645	    0.039821	    0.066466	   -0.067885	    0.007341	   -0.060544	   -0.057292	   -0.001169	   -0.058461	   -0.142598	   -0.449347	   -0.591946	   -0.109213	   -0.441584	   -0.550797	   -0.005327	   -0.010944	   -0.016271	   -0.060104	   -0.037315	   -0.097419	   -0.003601	    0.030916	    0.027315	   -0.059236	    0.040323	   -0.018913
     0.450	0	0	    0	   -0.013532	   -0.000240	   -0.013772	   -0.010003	   -0.010321	   -0.020324	    0.011708	   -0.000718	    0.010990	    0.002394	   -0.008577	   -0.006184	   -0.003200	   -0.051386	   -0.054586	   -0.025524	   -0.051763	   -0.077287	    0.036539	    0.054205	    0.090744	    0.016297	    0.001696	    0.017994	   -0.060512	   -0.047857	   -0.108369	    0.008739	   -0.422652	   -0.413913	    0.000323	   -0.009178	   -0.008855	    0.014023	    0.002140	    0.016163	   -0.033168	   -0.077987	   -0.111155	    0.025395	    0.017876	    0.043271	   -0.022378	   -0.056067	   -0.078445	   -0.034221	    0.007067	   -0.027155	   -0.102607	   -0.435463	   -0.538070	    0.040683	   -0.440007	   -0.399323	   -0.005233	   -0.003159	   -0.008392	   -0.049798	   -0.012130	   -0.061929	   -0.001648	    0.028906	    0.027258	   -0.085272	   -0.011376	   -0.096648
     0.525	0	0	    0	   -0.002993	   -0.005541	   -0.008534	   -0.006568	   -0.000283	   -0.006851	    0.004038	    0.001664	    0.005702	    0.001216	   -0.004463	   -0.003246	    0.008664	   -0.017405	   -0.008741	   -0.022972	   -0.008184	   -0.031156	    0.002743	    0.041405	    0.044147	    0.011228	    0.001075	    0.012303	   -0.049076	   -0.012325	   -0.061400	    0.016103	   -0.053758	   -0.037655	    0.002044	   -0.000892	    0.001151	    0.011468	    0.005207	    0.016676	   -0.022646	   -0.025958	   -0.048604	    0.019150	    0.009992	    0.029142	   -0.042545	   -0.035615	   -0.078160	   -0.033145	    0.032322	   -0.000823	   -0.020027	   -0.113002	   -0.133029	    0.007488	   -0.032502	   -0.025014	   -0.005836	    0.002413	   -0.003423	   -0.035301	   -0.005172	   -0.040473	   -0.010650	    0.022260	    0.011610	   -0.089645	   -0.035046	   -0.124691
     0.600	0	0	    0	   -0.008697	   -0.012010	   -0.020707	   -0.001477	   -0.000281	   -0.001758	    0.008336	   -0.008888	   -0.000552	   -0.000505	   -0.001838	   -0.002343	   -0.004715	    0.011562	    0.006847	    0.007197	   -0.017564	   -0.010367	    0.035835	   -0.029572	    0.006263	    0.000875	    0.004198	    0.005072	   -0.023030	   -0.010921	   -0.033951	    0.002547	   -0.018883	   -0.016336	   -0.001001	    0.003539	    0.002538	   -0.008590	    0.009324	    0.000734	   -0.011057	   -0.010792	   -0.021850	    0.015183	   -0.000185	    0.014999	   -0.047449	   -0.039428	   -0.086877	   -0.015037	    0.016538	    0.001501	   -0.036973	   -0.009464	   -0.046437	   -0.008453	    0.000010	   -0.008443	   -0.004711	    0.004817	    0.000106	   -0.025699	   -0.000988	   -0.026687	   -0.007789	    0.005337	   -0.002451	   -0.078516	   -0.037923	   -0.116439
