 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 103741
ID		Version	11.0
Name	tristan_6	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     819
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   61.35	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	   -0.004462	   -0.000914	   -0.005376	    0.000931	    0.000026	    0.000958	   -0.000673	    0.001064	    0.000391	   -0.002384	    0.001462	   -0.000923	    0.000764	    0.001142	    0.001907	    0.000222	    0.003693	    0.003915	    0.005655	   -0.005644	    0.000011	   -0.004362	   -0.002015	   -0.006377	   -0.000013	   -0.000521	   -0.000534	    0.000226	    0.000923	    0.001149	    0.001172	   -0.000182	    0.000991	   -0.001766	    0.002421	    0.000655	    0.003737	   -0.003424	    0.000314	    0.000543	   -0.001207	   -0.000664	    0.001194	   -0.001014	    0.000179	   -0.000375	   -0.000924	   -0.001299	    0.000974	   -0.000460	    0.000515	   -0.003162	    0.000324	   -0.002838	   -0.005683	    0.001057	   -0.004626	   -0.001549	   -0.002177	   -0.003727	    0.001278	   -0.001064	    0.000214	    0.000956	   -0.004385	   -0.003429
     0.150	0	0	    0	   -0.008053	   -0.004036	   -0.012089	   -0.000951	    0.001395	    0.000444	    0.002462	   -0.001476	    0.000987	    0.000140	   -0.001052	   -0.000913	    0.002727	    0.001603	    0.004330	    0.007461	    0.001460	    0.008921	    0.002517	   -0.007163	   -0.004646	   -0.007060	   -0.005808	   -0.012867	   -0.003179	    0.000469	   -0.002710	   -0.002110	    0.003928	    0.001818	   -0.000214	    0.001572	    0.001358	   -0.001583	    0.001613	    0.000029	    0.000488	    0.000673	    0.001160	    0.000100	   -0.002999	   -0.002899	   -0.000381	   -0.000795	   -0.001177	   -0.001409	   -0.001500	   -0.002910	   -0.003138	    0.004636	    0.001498	   -0.008484	   -0.000056	   -0.008541	   -0.009940	   -0.000492	   -0.010432	   -0.008165	    0.001870	   -0.006296	   -0.002936	    0.001561	   -0.001374	   -0.002478	   -0.002248	   -0.004726
     0.225	0	0	    0	   -0.008559	   -0.005828	   -0.014388	   -0.003596	    0.001513	   -0.002083	   -0.000505	    0.000009	   -0.000496	   -0.000137	   -0.001917	   -0.002054	    0.001048	    0.002835	    0.003883	    0.007409	    0.006466	    0.013875	    0.003098	   -0.012964	   -0.009866	   -0.008980	   -0.007195	   -0.016174	   -0.005726	   -0.000664	   -0.006390	   -0.006133	    0.005103	   -0.001030	   -0.001574	    0.002076	    0.000502	   -0.004631	    0.002708	   -0.001923	   -0.002928	    0.001666	   -0.001262	   -0.006118	   -0.001492	   -0.007611	   -0.002922	   -0.000400	   -0.003322	   -0.003010	   -0.001653	   -0.004663	   -0.005916	    0.004459	   -0.001457	   -0.017877	    0.001364	   -0.016513	   -0.019484	   -0.000360	   -0.019844	   -0.015747	    0.001210	   -0.014537	   -0.008209	    0.002342	   -0.005866	   -0.003086	   -0.005187	   -0.008273
     0.300	0	0	    0	   -0.012145	   -0.007365	   -0.019510	   -0.008394	    0.002852	   -0.005542	   -0.002564	    0.000760	   -0.001803	   -0.001827	   -0.000128	   -0.001954	    0.001806	    0.004933	    0.006740	    0.004633	    0.006720	    0.011352	   -0.008433	   -0.001815	   -0.010248	   -0.011010	   -0.008809	   -0.019819	   -0.008018	   -0.002069	   -0.010087	   -0.013183	    0.006444	   -0.006738	   -0.003290	    0.002153	   -0.001137	   -0.007723	    0.004689	   -0.003034	   -0.009158	    0.001776	   -0.007382	   -0.010652	    0.000635	   -0.010018	   -0.000748	   -0.005049	   -0.005797	   -0.004646	   -0.002647	   -0.007293	   -0.009969	    0.002057	   -0.007912	   -0.026043	    0.000669	   -0.025373	   -0.026571	   -0.001344	   -0.027915	   -0.024149	    0.001487	   -0.022662	   -0.013652	    0.001565	   -0.012087	   -0.003291	   -0.007619	   -0.010910
     0.375	0	0	    0	   -0.015293	   -0.005848	   -0.021141	   -0.013571	    0.003790	   -0.009781	   -0.004182	    0.000287	   -0.003896	   -0.002856	   -0.000100	   -0.002956	    0.000286	    0.005164	    0.005450	    0.005382	    0.007206	    0.012588	   -0.007493	   -0.006240	   -0.013734	   -0.013991	   -0.008621	   -0.022612	   -0.011170	   -0.001997	   -0.013167	   -0.019631	    0.007342	   -0.012289	   -0.006051	    0.003036	   -0.003015	   -0.011239	    0.004445	   -0.006794	   -0.013752	    0.003311	   -0.010441	   -0.014934	   -0.000911	   -0.015844	   -0.005758	   -0.001665	   -0.007423	   -0.006342	   -0.003024	   -0.009365	   -0.014053	    0.003184	   -0.010868	   -0.033893	    0.001294	   -0.032599	   -0.035762	   -0.000654	   -0.036415	   -0.033188	    0.001552	   -0.031636	   -0.019716	    0.002251	   -0.017465	   -0.009083	   -0.005351	   -0.014434
     0.450	0	0	    0	   -0.013097	   -0.009207	   -0.022304	   -0.017447	    0.003159	   -0.014287	   -0.005587	    0.000376	   -0.005211	   -0.004014	   -0.000801	   -0.004814	    0.000731	    0.007412	    0.008144	    0.004488	    0.007990	    0.012478	   -0.008316	   -0.008710	   -0.017026	   -0.011245	   -0.010553	   -0.021797	   -0.014916	   -0.001318	   -0.016234	   -0.024818	    0.007159	   -0.017659	   -0.006687	    0.002353	   -0.004334	   -0.012918	    0.004712	   -0.008206	   -0.018967	    0.003343	   -0.015624	   -0.018523	   -0.000452	   -0.018975	   -0.005692	   -0.002321	   -0.008014	   -0.008090	   -0.003562	   -0.011652	   -0.019646	    0.003601	   -0.016044	   -0.041947	    0.000656	   -0.041292	   -0.044453	    0.000131	   -0.044321	   -0.042933	    0.003031	   -0.039902	   -0.025184	    0.001706	   -0.023478	   -0.008771	   -0.007440	   -0.016211
     0.525	0	0	    0	   -0.009209	   -0.006478	   -0.015687	   -0.005042	    0.002011	   -0.003031	   -0.003166	   -0.001081	   -0.004247	   -0.000892	   -0.003210	   -0.004102	    0.003051	    0.005366	    0.008417	    0.008179	    0.010911	    0.019090	    0.001022	   -0.011733	   -0.010711	   -0.007890	   -0.008706	   -0.016596	   -0.009184	   -0.002653	   -0.011837	   -0.011906	    0.007329	   -0.004577	   -0.004905	    0.002901	   -0.002004	   -0.004306	    0.004132	   -0.000174	   -0.007370	    0.001953	   -0.005418	   -0.004075	   -0.001654	   -0.005729	   -0.000901	   -0.003532	   -0.004433	   -0.004787	   -0.004976	   -0.009763	   -0.012679	    0.004547	   -0.008133	   -0.025989	   -0.000386	   -0.026375	   -0.028913	   -0.004792	   -0.033705	   -0.033991	   -0.001799	   -0.035791	   -0.013178	    0.001082	   -0.012096	   -0.001718	   -0.008972	   -0.010690
     0.600	0	0	    0	   -0.008633	   -0.006912	   -0.015545	   -0.001656	    0.008816	    0.007160	   -0.001935	    0.002231	    0.000296	    0.000817	   -0.004352	   -0.003535	    0.003456	    0.005853	    0.009309	    0.012213	    0.009404	    0.021617	   -0.002017	   -0.004778	   -0.006795	   -0.007266	   -0.009141	   -0.016407	   -0.005224	   -0.000263	   -0.005487	   -0.006279	    0.015351	    0.009072	   -0.001250	    0.005353	    0.004103	   -0.002531	    0.006063	    0.003532	   -0.000339	    0.010237	    0.009897	   -0.004345	    0.000910	   -0.003435	    0.000718	   -0.004610	   -0.003893	   -0.002831	   -0.004100	   -0.006931	   -0.001450	    0.006855	    0.005405	   -0.020151	    0.006912	   -0.013239	   -0.019826	    0.004282	   -0.015543	   -0.018203	    0.008654	   -0.009548	   -0.004952	    0.006245	    0.001292	   -0.003855	   -0.007661	   -0.011516
