 [File Information]      		 [Data Line]	36
Measured Date	2024/05/28 095658
ID		Version	11.0
Name	oceane_12	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     881
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   66.00	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.019964	   -0.020828	   -0.000864	   -0.001143	   -0.005380	   -0.006523	    0.008128	    0.000050	    0.008177	    0.009854	    0.000941	    0.010795	    0.005652	   -0.001628	    0.004025	    0.012195	    0.000617	    0.012812	    0.017080	    0.011687	    0.028767	   -0.008309	    0.033768	    0.025459	   -0.013707	   -0.020837	   -0.034544	   -0.004457	   -0.002238	   -0.006695	    0.003763	   -0.006352	   -0.002588	   -0.003643	   -0.005354	   -0.008996	   -0.004441	   -0.008442	   -0.012883	    0.004359	   -0.010608	   -0.006249	    0.015117	   -0.014846	    0.000271	    0.009968	    0.017718	    0.027686	   -0.001138	   -0.003742	   -0.004880	    0.001049	   -0.004963	   -0.003914	    0.018010	    0.010098	    0.028107	    0.006744	    0.000500	    0.007244	   -0.006761	   -0.009474	   -0.016236	    0.029939	    0.014572	    0.044511
     0.150	0	0	    0	    0.023389	   -0.016843	    0.006546	    0.000701	   -0.008326	   -0.007625	    0.018425	    0.004044	    0.022469	    0.020153	    0.008403	    0.028555	    0.020690	    0.007754	    0.028444	    0.030084	    0.010269	    0.040352	    0.035932	    0.025575	    0.061507	    0.021878	    0.030077	    0.051955	   -0.030257	   -0.028296	   -0.058553	   -0.004689	   -0.012134	   -0.016823	    0.011540	   -0.003261	    0.008279	    0.000288	   -0.009777	   -0.009488	   -0.003054	   -0.009205	   -0.012259	    0.009096	   -0.009465	   -0.000369	    0.013302	   -0.002672	    0.010630	    0.020119	    0.042998	    0.063117	   -0.002619	   -0.004018	   -0.006637	   -0.002300	   -0.008566	   -0.010866	    0.028007	    0.018416	    0.046423	    0.006001	   -0.000366	    0.005635	   -0.006876	   -0.011614	   -0.018490	    0.044588	    0.059918	    0.104506
     0.225	0	0	    0	    0.014476	   -0.005571	    0.008905	    0.001349	   -0.007514	   -0.006165	    0.025826	    0.008927	    0.034753	    0.032100	    0.019595	    0.051695	    0.036091	    0.024324	    0.060415	    0.047116	    0.025826	    0.072941	    0.050648	    0.047025	    0.097674	    0.023507	    0.044881	    0.068388	   -0.040762	   -0.035739	   -0.076501	   -0.010460	   -0.022015	   -0.032475	    0.019506	   -0.000063	    0.019443	    0.011366	   -0.003774	    0.007593	   -0.001293	   -0.004501	   -0.005794	    0.014821	    0.002131	    0.016952	    0.032501	    0.002727	    0.035228	    0.024263	    0.063657	    0.087920	   -0.000911	   -0.003286	   -0.004197	   -0.002815	   -0.014594	   -0.017409	    0.031142	    0.021947	    0.053090	    0.007026	   -0.003167	    0.003859	   -0.008738	   -0.005801	   -0.014539	    0.066638	    0.083120	    0.149758
     0.300	0	0	    0	    0.005677	    0.019284	    0.024961	    0.005774	   -0.007959	   -0.002185	    0.033008	    0.014226	    0.047234	    0.049554	    0.029264	    0.078818	    0.051378	    0.035121	    0.086499	    0.055576	    0.044513	    0.100089	    0.057692	    0.060736	    0.118428	    0.022990	    0.053481	    0.076471	   -0.030851	   -0.047712	   -0.078563	   -0.015426	   -0.029128	   -0.044554	    0.028126	    0.005117	    0.033242	    0.027129	    0.001189	    0.028318	    0.007135	   -0.001371	    0.005765	    0.019655	    0.012324	    0.031979	    0.034084	    0.006606	    0.040690	    0.028350	    0.068224	    0.096574	    0.004413	   -0.009771	   -0.005358	   -0.003378	   -0.018051	   -0.021429	    0.032838	    0.023247	    0.056085	    0.011292	   -0.007593	    0.003699	   -0.006373	   -0.007877	   -0.014250	    0.067600	    0.111203	    0.178803
     0.375	0	0	    0	    0.027634	    0.001501	    0.029135	    0.008339	   -0.003219	    0.005120	    0.039174	    0.020088	    0.059263	    0.071332	    0.039954	    0.111286	    0.069408	    0.042297	    0.111704	    0.064554	    0.056305	    0.120859	    0.049991	    0.074188	    0.124179	    0.027332	    0.046333	    0.073665	   -0.025150	   -0.044006	   -0.069156	   -0.012195	   -0.033447	   -0.045642	    0.031257	    0.009673	    0.040930	    0.043018	    0.007363	    0.050382	    0.014966	    0.006790	    0.021756	    0.024452	    0.020554	    0.045006	    0.027067	    0.006224	    0.033290	    0.028178	    0.067779	    0.095957	    0.009555	   -0.015396	   -0.005841	   -0.002627	   -0.019323	   -0.021950	    0.033400	    0.023157	    0.056557	    0.013387	   -0.007862	    0.005525	   -0.006172	   -0.005897	   -0.012068	    0.071155	    0.117771	    0.188925
     0.450	0	0	    0	    0.023030	    0.006654	    0.029684	    0.011215	   -0.000131	    0.011084	    0.048239	    0.024916	    0.073155	    0.088632	    0.058278	    0.146910	    0.083568	    0.063152	    0.146720	    0.078213	    0.070847	    0.149060	    0.056825	    0.068989	    0.125814	    0.024877	    0.044250	    0.069127	   -0.025402	   -0.038317	   -0.063719	   -0.013521	   -0.035845	   -0.049367	    0.037202	    0.013714	    0.050916	    0.055321	    0.018620	    0.073941	    0.024878	    0.019919	    0.044796	    0.024463	    0.023977	    0.048439	    0.023486	   -0.000155	    0.023331	    0.023837	    0.068632	    0.092469	    0.009709	   -0.015734	   -0.006025	   -0.003642	   -0.020956	   -0.024598	    0.034681	    0.023754	    0.058435	    0.015582	   -0.006986	    0.008596	   -0.006095	   -0.006583	   -0.012678	    0.069379	    0.116483	    0.185862
     0.525	0	0	    0	    0.012861	    0.018856	    0.031718	    0.015269	    0.001669	    0.016938	    0.051820	    0.035244	    0.087064	    0.103213	    0.075834	    0.179047	    0.101534	    0.077845	    0.179379	    0.090172	    0.080352	    0.170524	    0.057982	    0.062673	    0.120656	    0.016608	    0.048199	    0.064808	   -0.023444	   -0.040875	   -0.064319	   -0.010490	   -0.035804	   -0.046294	    0.041107	    0.018912	    0.060018	    0.066681	    0.026442	    0.093123	    0.034928	    0.031109	    0.066036	    0.028818	    0.019465	    0.048283	    0.028192	   -0.014639	    0.013553	    0.023937	    0.062282	    0.086219	    0.011914	   -0.017709	   -0.005795	   -0.003769	   -0.022041	   -0.025810	    0.033733	    0.023265	    0.056998	    0.018221	   -0.007574	    0.010647	   -0.004901	   -0.007094	   -0.011995	    0.071984	    0.117957	    0.189941
     0.600	0	0	    0	    0.012691	    0.011740	    0.024431	    0.015369	    0.004525	    0.019893	    0.051556	    0.042726	    0.094281	    0.114327	    0.081854	    0.196182	    0.116209	    0.085305	    0.201514	    0.093046	    0.086274	    0.179319	    0.052533	    0.060576	    0.113109	    0.014292	    0.041781	    0.056073	   -0.024768	   -0.042935	   -0.067703	   -0.008708	   -0.033165	   -0.041872	    0.038986	    0.022381	    0.061367	    0.077395	    0.024702	    0.102097	    0.042785	    0.041436	    0.084221	    0.030462	    0.018806	    0.049268	    0.013923	   -0.010407	    0.003516	    0.021234	    0.057343	    0.078578	    0.011879	   -0.018513	   -0.006634	   -0.006703	   -0.020904	   -0.027607	    0.030972	    0.022974	    0.053946	    0.019565	   -0.007809	    0.011755	   -0.003984	   -0.010107	   -0.014091	    0.067706	    0.122066	    0.189773
