 [File Information]      		 [Data Line]	36
Measured Date	2024/05/27 093353
ID		Version	11.0
Name	oceane_1	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     816
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   61.13	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.008572	   -0.007446	    0.001126	   -0.003045	    0.003343	    0.000299	   -0.007947	    0.008129	    0.000181	    0.002678	   -0.002346	    0.000332	    0.008643	   -0.006214	    0.002428	   -0.011511	    0.030508	    0.018997	   -0.028984	    0.044341	    0.015357	   -0.000700	   -0.000473	   -0.001173	   -0.000226	    0.000995	    0.000769	   -0.019829	    0.022770	    0.002941	    0.001135	   -0.000166	    0.000969	    0.000223	   -0.001382	   -0.001159	   -0.001544	    0.004970	    0.003426	    0.020332	   -0.023049	   -0.002716	    0.032199	   -0.048302	   -0.016103	    0.004272	   -0.002589	    0.001684	   -0.002886	    0.005591	    0.002705	    0.002663	   -0.001343	    0.001320	    0.000404	    0.000873	    0.001277	    0.002403	    0.000950	    0.003353	    0.016003	    0.005973	    0.021975	   -0.042649	   -0.053169	   -0.095817
     0.150	0	0	    0	    0.016334	   -0.005177	    0.011157	    0.002145	   -0.002033	    0.000112	    0.001974	   -0.001579	    0.000395	   -0.000539	    0.003391	    0.002852	    0.000442	    0.003555	    0.003997	   -0.020450	    0.030227	    0.009777	    0.016523	    0.021352	    0.037876	    0.007452	   -0.006004	    0.001448	    0.002546	   -0.001831	    0.000715	   -0.003476	    0.012109	    0.008633	    0.001534	    0.000498	    0.002031	    0.000963	   -0.000320	    0.000643	    0.002020	   -0.004753	   -0.002732	    0.041748	    0.007590	    0.049338	   -0.011352	   -0.029643	   -0.040995	    0.027363	   -0.003629	    0.023734	    0.013818	   -0.012568	    0.001250	    0.002243	    0.000431	    0.002674	    0.000644	    0.000574	    0.001218	    0.007328	    0.002688	    0.010016	    0.059313	    0.026337	    0.085650	    0.031450	   -0.053158	   -0.021708
     0.225	0	0	    0	    0.036562	   -0.008502	    0.028060	    0.007145	    0.002193	    0.009338	    0.003316	    0.003035	    0.006351	    0.001981	    0.000205	    0.002186	    0.011540	   -0.013456	   -0.001916	   -0.034627	    0.041338	    0.006711	   -0.004845	    0.069699	    0.064854	    0.040819	    0.021432	    0.062251	    0.003241	    0.000730	    0.003972	   -0.001903	    0.017779	    0.015877	    0.002294	    0.001030	    0.003325	    0.003104	   -0.002022	    0.001082	    0.003438	   -0.009254	   -0.005816	    0.048375	    0.029336	    0.077711	   -0.005503	   -0.031009	   -0.036512	    0.053145	    0.043942	    0.097087	    0.009124	   -0.002202	    0.006922	    0.001280	    0.001631	    0.002911	    0.000931	    0.001390	    0.002321	    0.010914	    0.007138	    0.018052	    0.081476	    0.089299	    0.170775	   -0.015774	    0.013899	   -0.001874
     0.300	0	0	    0	    0.029431	    0.003259	    0.032690	    0.002521	    0.005748	    0.008269	   -0.005400	    0.007611	    0.002210	    0.002010	    0.001842	    0.003852	    0.006778	   -0.012017	   -0.005239	   -0.035056	    0.036282	    0.001226	   -0.060645	    0.074787	    0.014142	    0.033590	    0.052843	    0.086434	    0.003786	    0.000495	    0.004281	   -0.007718	    0.019620	    0.011902	    0.000727	    0.000634	    0.001361	    0.001939	   -0.000964	    0.000975	    0.002957	   -0.011975	   -0.009018	    0.021623	    0.032608	    0.054231	   -0.043585	   -0.052647	   -0.096232	    0.042708	    0.050296	    0.093003	    0.005607	    0.001258	    0.006865	   -0.002314	    0.003635	    0.001322	   -0.000349	    0.000800	    0.000451	    0.010453	    0.006800	    0.017253	    0.050368	    0.098807	    0.149175	   -0.087254	   -0.041388	   -0.128642
     0.375	0	0	    0	    0.018410	    0.008149	    0.026559	   -0.003515	    0.006293	    0.002778	   -0.011371	    0.010171	   -0.001200	    0.001836	    0.001015	    0.002851	    0.005025	   -0.013379	   -0.008354	   -0.028202	    0.035181	    0.006979	   -0.087831	    0.046154	   -0.041677	    0.023776	    0.050578	    0.074353	   -0.002263	    0.001790	   -0.000473	   -0.012934	    0.012901	   -0.000033	    0.001205	   -0.000820	    0.000385	    0.001125	   -0.001617	   -0.000492	   -0.000215	   -0.009944	   -0.010159	    0.013332	    0.024263	    0.037595	   -0.022949	   -0.064880	   -0.087829	    0.015646	    0.036988	    0.052634	    0.008969	   -0.006941	    0.002028	   -0.004661	    0.001362	   -0.003299	   -0.003145	    0.000435	   -0.002710	    0.002806	    0.006460	    0.009266	    0.020053	    0.066109	    0.086161	   -0.082664	   -0.096646	   -0.179309
     0.450	0	0	    0	    0.001228	    0.011320	    0.012548	   -0.007764	    0.006010	   -0.001754	   -0.011221	    0.008227	   -0.002994	   -0.005158	    0.004448	   -0.000710	   -0.000414	    0.000545	    0.000131	   -0.024304	    0.038785	    0.014482	   -0.083495	    0.066962	   -0.016532	   -0.009512	    0.023228	    0.013716	   -0.005037	    0.000863	   -0.004174	   -0.030413	    0.031606	    0.001194	   -0.002870	    0.000589	   -0.002281	   -0.000901	    0.000234	   -0.000667	   -0.003328	   -0.001927	   -0.005255	   -0.001129	    0.010142	    0.009013	    0.007808	   -0.051116	   -0.043308	   -0.000740	    0.008853	    0.008113	   -0.006322	    0.000704	   -0.005618	   -0.003116	    0.001811	   -0.001305	   -0.003911	   -0.000496	   -0.004407	   -0.003105	    0.002569	   -0.000536	   -0.008189	    0.027558	    0.019369	   -0.028196	   -0.058439	   -0.086635
     0.525	0	0	    0	    0.013347	   -0.004016	    0.009332	   -0.009841	    0.005411	   -0.004430	   -0.010453	    0.006834	   -0.003619	   -0.005198	    0.000989	   -0.004209	    0.003620	   -0.001098	    0.002522	   -0.024576	    0.027809	    0.003234	   -0.046458	    0.044945	   -0.001513	   -0.007682	    0.003144	   -0.004538	   -0.005638	   -0.000335	   -0.005973	   -0.026576	    0.026827	    0.000251	   -0.004533	   -0.000476	   -0.005009	   -0.001999	    0.000538	   -0.001461	   -0.003299	   -0.002104	   -0.005403	   -0.001019	   -0.011733	   -0.012752	    0.015385	   -0.034951	   -0.019566	   -0.005890	   -0.000747	   -0.006637	    0.000221	   -0.007517	   -0.007296	   -0.000753	   -0.003145	   -0.003898	   -0.004531	   -0.001286	   -0.005817	   -0.004912	   -0.000070	   -0.004982	   -0.013530	    0.008454	   -0.005076	   -0.002990	   -0.029600	   -0.032591
     0.600	0	0	    0	    0.012685	   -0.017744	   -0.005059	   -0.005996	   -0.001912	   -0.007908	   -0.011940	   -0.000888	   -0.012827	   -0.005263	   -0.002621	   -0.007885	    0.003794	   -0.005395	   -0.001601	   -0.009415	    0.005210	   -0.004205	    0.001840	   -0.013013	   -0.011173	   -0.007077	   -0.007056	   -0.014133	   -0.010200	    0.000493	   -0.009707	   -0.006020	    0.000202	   -0.005818	   -0.007311	   -0.000499	   -0.007810	   -0.002870	   -0.001242	   -0.004112	   -0.008277	    0.000756	   -0.007520	   -0.004838	   -0.013450	   -0.018287	   -0.000610	    0.007662	    0.007052	   -0.013568	   -0.002712	   -0.016280	   -0.006797	   -0.000141	   -0.006938	   -0.001846	   -0.003763	   -0.005609	   -0.006368	   -0.000425	   -0.006793	   -0.006344	   -0.001092	   -0.007436	   -0.017565	    0.001149	   -0.016416	   -0.001934	   -0.019971	   -0.021905
