 [File Information]      		 [Data Line]	36
Measured Date	2024/05/27 092803
ID		Version	11.0
Name	oceane_1	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     819
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   61.35	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	    0.001392	   -0.002604	   -0.001213	   -0.002482	    0.001983	   -0.000499	   -0.009424	    0.009173	   -0.000251	    0.001803	   -0.002502	   -0.000699	    0.003245	   -0.000731	    0.002514	   -0.017783	    0.026239	    0.008456	   -0.020526	    0.025571	    0.005044	   -0.003240	   -0.000064	   -0.003304	    0.001370	   -0.000497	    0.000872	   -0.035471	    0.031049	   -0.004422	    0.001640	   -0.000268	    0.001372	   -0.000670	    0.001045	    0.000375	    0.000099	    0.000303	    0.000402	   -0.016086	    0.013777	   -0.002309	   -0.024998	    0.013488	   -0.011510	   -0.002768	   -0.001319	   -0.004086	    0.004994	   -0.004502	    0.000491	    0.002105	   -0.003871	   -0.001766	    0.001095	   -0.000463	    0.000632	   -0.001543	    0.000997	   -0.000546	   -0.002399	   -0.003191	   -0.005590	   -0.003521	    0.003675	    0.000154
     0.150	0	0	    0	   -0.000875	    0.002781	    0.001906	    0.001765	   -0.005301	   -0.003536	   -0.000756	   -0.000757	   -0.001512	   -0.001261	   -0.000618	   -0.001879	    0.001700	   -0.006018	   -0.004318	   -0.013274	    0.013291	    0.000016	   -0.003994	   -0.002152	   -0.006146	   -0.002192	   -0.004145	   -0.006337	   -0.003371	    0.000650	   -0.002721	    0.005333	   -0.017589	   -0.012257	    0.001164	    0.000244	    0.001407	   -0.000212	   -0.002301	   -0.002513	    0.002389	   -0.005049	   -0.002660	    0.000341	   -0.016014	   -0.015673	   -0.009607	   -0.079422	   -0.089028	    0.007325	   -0.000913	    0.006412	    0.008123	   -0.010235	   -0.002112	    0.004754	   -0.006288	   -0.001533	    0.000198	    0.000950	    0.001148	    0.003328	   -0.001134	    0.002194	    0.011908	    0.001694	    0.013602	   -0.077317	   -0.022557	   -0.099874
     0.225	0	0	    0	    0.008449	   -0.006466	    0.001982	    0.001316	   -0.000731	    0.000585	   -0.007688	    0.013447	    0.005759	    0.004020	   -0.005306	   -0.001286	    0.004279	   -0.003092	    0.001188	   -0.034558	    0.033390	   -0.001167	   -0.025307	    0.038468	    0.013161	    0.022227	   -0.003031	    0.019197	   -0.006513	   -0.001950	   -0.008463	   -0.035027	    0.037965	    0.002938	    0.001719	   -0.001216	    0.000503	   -0.000009	   -0.000763	   -0.000772	   -0.006530	   -0.004569	   -0.011099	    0.006909	    0.013285	    0.020194	   -0.063069	   -0.085746	   -0.148814	    0.035570	    0.028479	    0.064049	   -0.001549	    0.008265	    0.006715	   -0.000121	   -0.001057	   -0.001178	   -0.000203	    0.000932	    0.000729	    0.007314	    0.003573	    0.010888	    0.058907	    0.036398	    0.095306	   -0.017716	   -0.021606	   -0.039322
     0.300	0	0	    0	    0.024041	   -0.004640	    0.019401	    0.003750	   -0.000674	    0.003075	   -0.004022	    0.007158	    0.003136	    0.006217	   -0.006752	   -0.000535	    0.006216	   -0.014502	   -0.008286	   -0.031071	    0.024277	   -0.006795	   -0.036044	    0.037670	    0.001626	    0.030685	    0.021475	    0.052160	   -0.007470	   -0.000779	   -0.008249	   -0.009447	    0.012721	    0.003274	    0.001107	   -0.000816	    0.000291	   -0.001228	   -0.000493	   -0.001721	   -0.007510	   -0.011348	   -0.018858	    0.007111	    0.029703	    0.036814	   -0.094277	   -0.046394	   -0.140671	    0.035686	    0.044815	    0.080501	   -0.000180	    0.006088	    0.005908	   -0.000064	   -0.001902	   -0.001966	   -0.001721	    0.001612	   -0.000108	    0.007125	    0.005470	    0.012595	    0.049773	    0.089952	    0.139725	   -0.097265	    0.039586	   -0.057680
     0.375	0	0	    0	    0.002808	    0.017831	    0.020639	   -0.002828	    0.003306	    0.000478	   -0.009694	    0.011646	    0.001952	    0.000201	   -0.001584	   -0.001383	   -0.001872	   -0.008669	   -0.010541	   -0.029475	    0.025447	   -0.004027	   -0.098123	    0.035400	   -0.062723	    0.014379	    0.035093	    0.049472	   -0.007968	   -0.001760	   -0.009728	   -0.040032	    0.028748	   -0.011284	   -0.000754	    0.000396	   -0.000358	   -0.002524	    0.000299	   -0.002225	   -0.002878	   -0.015964	   -0.018841	   -0.029073	    0.027110	   -0.001963	   -0.079635	   -0.093782	   -0.173417	    0.012460	    0.035334	    0.047794	    0.000771	   -0.003682	   -0.002911	   -0.003795	   -0.002900	   -0.006695	   -0.003715	    0.001185	   -0.002530	    0.002445	    0.007720	    0.010164	    0.013608	    0.067399	    0.081006	   -0.121982	   -0.060481	   -0.182463
     0.450	0	0	    0	    0.009234	    0.001909	    0.011143	   -0.003334	   -0.000076	   -0.003410	   -0.011930	    0.011870	   -0.000060	    0.003406	   -0.005634	   -0.002229	    0.001812	   -0.012209	   -0.010397	   -0.021663	    0.027029	    0.005366	   -0.038589	    0.018891	   -0.019699	   -0.001535	    0.014706	    0.013171	   -0.009684	   -0.002213	   -0.011897	   -0.013329	    0.000204	   -0.013125	   -0.001782	   -0.000461	   -0.002243	   -0.004656	   -0.000820	   -0.005476	   -0.000760	   -0.014021	   -0.014781	   -0.020443	    0.012530	   -0.007913	   -0.028643	   -0.059206	   -0.087849	   -0.004820	    0.010502	    0.005681	   -0.000355	   -0.009313	   -0.009669	   -0.002267	   -0.005127	   -0.007394	   -0.005170	    0.000407	   -0.004762	   -0.005718	    0.002346	   -0.003373	   -0.010858	    0.021226	    0.010368	   -0.046481	   -0.069774	   -0.116255
     0.525	0	0	    0	    0.009523	   -0.006140	    0.003383	   -0.006127	    0.000800	   -0.005327	   -0.013582	    0.008834	   -0.004748	    0.001410	   -0.005760	   -0.004351	    0.004910	   -0.011156	   -0.006246	   -0.024890	    0.022929	   -0.001961	   -0.035553	    0.025573	   -0.009980	   -0.003147	   -0.002938	   -0.006084	   -0.009569	   -0.000578	   -0.010147	   -0.013660	   -0.003025	   -0.016685	   -0.004584	   -0.000192	   -0.004776	   -0.004917	   -0.001761	   -0.006678	   -0.005541	   -0.005245	   -0.010785	   -0.017971	    0.000196	   -0.017775	   -0.027688	   -0.022283	   -0.049971	   -0.015237	    0.003513	   -0.011723	   -0.008849	   -0.003846	   -0.012695	   -0.005837	   -0.003438	   -0.009275	   -0.005471	   -0.000370	   -0.005841	   -0.009407	    0.000061	   -0.009346	   -0.016444	    0.004833	   -0.011611	   -0.041455	    0.003765	   -0.037691
     0.600	0	0	    0	    0.009398	   -0.014405	   -0.005006	   -0.004811	   -0.002598	   -0.007409	   -0.015701	    0.006855	   -0.008846	    0.001916	   -0.009916	   -0.007999	    0.004381	   -0.012699	   -0.008318	   -0.012910	    0.005603	   -0.007307	   -0.022331	    0.007519	   -0.014812	   -0.007686	   -0.008505	   -0.016191	   -0.012199	    0.000104	   -0.012096	   -0.028452	    0.006456	   -0.021997	   -0.006333	    0.000034	   -0.006299	   -0.006076	   -0.002489	   -0.008565	   -0.013211	    0.003340	   -0.009871	   -0.029734	    0.009717	   -0.020017	   -0.036354	    0.012127	   -0.024227	   -0.020651	    0.000224	   -0.020427	   -0.013501	    0.003778	   -0.009723	   -0.003811	   -0.005602	   -0.009414	   -0.006738	   -0.000217	   -0.006955	   -0.012010	    0.000755	   -0.011255	   -0.023473	   -0.002149	   -0.025623	   -0.043488	    0.011332	   -0.032156
