         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.675	0	0	    0	    0.001013	   -0.004136	   -0.003123	   -0.006075	   -0.002599	   -0.008675	    0.002268	    0.002335	    0.004603	    0.003550	    0.003601	    0.007151	   -0.002844	   -0.002845	   -0.005690	   -0.003081	   -0.002081	   -0.005162	    0.021471	   -0.002756	    0.018715	    0.004922	    0.009730	    0.014651	   -0.001284	   -0.003712	   -0.004996	    0.007494	    0.004526	    0.012020	    0.012058	    0.009772	    0.021830	    0.009507	    0.002875	    0.012382	    0.002111	    0.001265	    0.003376	    0.011129	   -0.007073	    0.004056	    0.012728	    0.019090	    0.031819	    0.028046	    0.014165	    0.042211	   -0.000174	   -0.002281	   -0.002456	    0.000633	   -0.002801	   -0.002168	   -0.010638	   -0.011416	   -0.022053	    0.005345	   -0.001738	    0.003607	    0.000957	   -0.002669	   -0.001712	    0.040071	    0.003353	    0.043424
     0.750	0	0	    0	    0.006361	   -0.001014	    0.005347	   -0.012253	   -0.003605	   -0.015858	   -0.000739	    0.001878	    0.001139	    0.004071	    0.005423	    0.009494	   -0.006004	   -0.002962	   -0.008966	   -0.006933	   -0.004381	   -0.011313	    0.050078	    0.005694	    0.055772	    0.008655	    0.014858	    0.023513	    0.003693	   -0.004321	   -0.000628	    0.004037	    0.005853	    0.009890	    0.011894	    0.009635	    0.021529	    0.007363	    0.006161	    0.013524	   -0.002865	   -0.000336	   -0.003202	    0.027218	   -0.002468	    0.024749	    0.062889	    0.041226	    0.104115	    0.092118	    0.036155	    0.128273	   -0.006282	   -0.004602	   -0.010885	    0.003295	   -0.003597	   -0.000302	   -0.012994	   -0.014783	   -0.027777	    0.008835	   -0.003105	    0.005730	   -0.003148	   -0.005414	   -0.008561	    0.101822	    0.045066	    0.146889
     0.825	0	0	    0	    0.016695	    0.008180	    0.024875	   -0.016336	   -0.006957	   -0.023294	   -0.002408	    0.000451	   -0.001957	    0.006641	    0.008506	    0.015148	   -0.008061	   -0.008074	   -0.016134	   -0.012039	   -0.008302	   -0.020341	    0.069863	    0.029683	    0.099546	    0.048369	    0.056093	    0.104462	    0.013893	    0.005063	    0.018956	    0.005650	    0.004185	    0.009835	    0.014099	    0.009081	    0.023180	    0.009675	    0.003340	    0.013016	   -0.009107	   -0.005321	   -0.014428	    0.038961	    0.021784	    0.060744	    0.115356	    0.108941	    0.224297	    0.144919	    0.108653	    0.253572	   -0.014034	   -0.011803	   -0.025837	    0.004331	   -0.002570	    0.001760	   -0.020617	   -0.018645	   -0.039262	    0.013091	    0.000316	    0.013407	   -0.015500	   -0.010579	   -0.026079	    0.148567	    0.099931	    0.248498
     0.900	0	0	    0	    0.022536	    0.021937	    0.044473	   -0.016502	   -0.011002	   -0.027505	   -0.001177	   -0.000998	   -0.002175	    0.008738	    0.012033	    0.020772	   -0.008184	   -0.010790	   -0.018975	   -0.012359	   -0.011888	   -0.024247	    0.085509	    0.042071	    0.127580	    0.073255	    0.095545	    0.168799	    0.017593	    0.006901	    0.024494	    0.010313	    0.004754	    0.015067	    0.015278	    0.010957	    0.026236	    0.013118	    0.003387	    0.016505	   -0.008324	   -0.010799	   -0.019123	    0.055276	    0.014611	    0.069886	    0.127540	    0.109338	    0.236877	    0.165146	    0.156996	    0.322142	   -0.014642	   -0.015646	   -0.030288	    0.001911	   -0.002274	   -0.000363	   -0.027725	   -0.023700	   -0.051425	    0.014563	   -0.000761	    0.013802	   -0.013135	   -0.019612	   -0.032748	    0.159680	    0.127312	    0.286993
     0.975	0	0	    0	    0.022444	    0.026229	    0.048673	   -0.019608	   -0.011628	   -0.031236	   -0.001893	   -0.000882	   -0.002775	    0.009055	    0.011680	    0.020736	   -0.009840	   -0.010446	   -0.020287	   -0.017164	   -0.011638	   -0.028803	    0.085700	    0.042468	    0.128168	    0.079422	    0.096330	    0.175752	    0.014907	    0.008397	    0.023304	    0.012468	    0.006683	    0.019150	    0.014596	    0.013311	    0.027907	    0.013623	    0.006033	    0.019656	   -0.010357	   -0.009683	   -0.020039	    0.051828	    0.018809	    0.070636	    0.124840	    0.114525	    0.239365	    0.172853	    0.171414	    0.344267	   -0.015890	   -0.014836	   -0.030725	   -0.000792	   -0.004085	   -0.004876	   -0.032531	   -0.029339	   -0.061870	    0.011920	   -0.001973	    0.009947	   -0.014844	   -0.016361	   -0.031205	    0.164936	    0.137208	    0.302145
     1.050	0	0	    0	    0.019356	    0.026606	    0.045962	   -0.023602	   -0.011816	   -0.035417	   -0.003803	   -0.000303	   -0.004106	    0.007359	    0.012092	    0.019450	   -0.012348	   -0.011001	   -0.023348	   -0.021399	   -0.012878	   -0.034277	    0.075640	    0.047764	    0.123404	    0.076973	    0.096552	    0.173525	    0.014013	    0.006076	    0.020089	    0.011516	    0.008520	    0.020036	    0.013265	    0.013526	    0.026791	    0.012552	    0.007387	    0.019940	   -0.012536	   -0.010398	   -0.022933	    0.046792	    0.014605	    0.061396	    0.115927	    0.116314	    0.232241	    0.173612	    0.176783	    0.350395	   -0.016264	   -0.016710	   -0.032974	   -0.003820	   -0.005184	   -0.009005	   -0.036268	   -0.030594	   -0.066862	    0.009731	   -0.004056	    0.005675	   -0.016308	   -0.017424	   -0.033732	    0.157219	    0.136753	    0.293972
     1.125	0	0	    0	    0.016876	    0.026256	    0.043132	   -0.026141	   -0.011472	   -0.037612	   -0.005756	   -0.000203	   -0.005959	    0.004965	    0.012314	    0.017279	   -0.014309	   -0.010898	   -0.025207	   -0.024617	   -0.012713	   -0.037330	    0.065689	    0.052515	    0.118203	    0.076995	    0.092700	    0.169695	    0.012853	    0.003601	    0.016454	    0.010480	    0.008919	    0.019399	    0.010589	    0.012709	    0.023299	    0.011428	    0.008294	    0.019722	   -0.014384	   -0.010619	   -0.025002	    0.038797	    0.019750	    0.058547	    0.113677	    0.113122	    0.226799	    0.172152	    0.174341	    0.346493	   -0.018284	   -0.015487	   -0.033771	   -0.005425	   -0.005974	   -0.011399	   -0.039551	   -0.032358	   -0.071909	    0.006456	   -0.004853	    0.001603	   -0.018343	   -0.020123	   -0.038466	    0.163007	    0.129682	    0.292689
     1.200	0	0	    0	    0.016018	    0.025343	    0.041361	   -0.026646	   -0.012662	   -0.039307	   -0.006118	   -0.001353	   -0.007471	    0.003809	    0.011695	    0.015504	   -0.015590	   -0.011996	   -0.027586	   -0.025635	   -0.014407	   -0.040042	    0.074358	    0.042797	    0.117155	    0.076544	    0.089849	    0.166393	    0.009579	    0.004626	    0.014205	    0.010201	    0.009255	    0.019456	    0.009468	    0.011839	    0.021307	    0.011793	    0.007237	    0.019030	   -0.016864	   -0.009817	   -0.026681	    0.043730	    0.014809	    0.058539	    0.114926	    0.109947	    0.224873	    0.171080	    0.175035	    0.346115	   -0.018110	   -0.016323	   -0.034432	   -0.007500	   -0.006232	   -0.013732	   -0.042131	   -0.033438	   -0.075569	    0.003972	   -0.004996	   -0.001024	   -0.022429	   -0.017003	   -0.039432	    0.163380	    0.130863	    0.294243
     1.275	0	0	    0	    0.013508	    0.026313	    0.039821	   -0.027613	   -0.013409	   -0.041022	   -0.007751	   -0.001171	   -0.008922	    0.002289	    0.011982	    0.014271	   -0.017504	   -0.012030	   -0.029534	   -0.029076	   -0.014402	   -0.043478	    0.063735	    0.049585	    0.113320	    0.075296	    0.090188	    0.165484	    0.008944	    0.004232	    0.013176	    0.008702	    0.009852	    0.018555	    0.007906	    0.011823	    0.019729	    0.010124	    0.008847	    0.018971	   -0.018710	   -0.010688	   -0.029399	    0.038211	    0.018597	    0.056809	    0.111226	    0.112407	    0.223634	    0.172749	    0.173906	    0.346655	   -0.019468	   -0.016511	   -0.035978	   -0.010397	   -0.006534	   -0.016931	   -0.045041	   -0.034100	   -0.079141	    0.000549	   -0.004540	   -0.003991	   -0.023260	   -0.017696	   -0.040956	    0.162991	    0.132119	    0.295110
     1.350	0	0	    0	    0.013507	    0.023835	    0.037342	   -0.027912	   -0.014220	   -0.042132	   -0.007555	   -0.002292	   -0.009848	    0.002175	    0.010762	    0.012937	   -0.018396	   -0.013202	   -0.031598	   -0.029312	   -0.016177	   -0.045489	    0.071167	    0.037934	    0.109101	    0.074197	    0.089277	    0.163474	    0.006059	    0.004580	    0.010639	    0.010506	    0.008604	    0.019110	    0.009165	    0.010465	    0.019629	    0.008585	    0.009162	    0.017747	   -0.021194	   -0.010929	   -0.032123	    0.038282	    0.016318	    0.054600	    0.110068	    0.108849	    0.218917	    0.171349	    0.174702	    0.346051	   -0.020562	   -0.014867	   -0.035429	   -0.007789	   -0.008117	   -0.015907	   -0.043328	   -0.036648	   -0.079976	   -0.001213	   -0.006725	   -0.007939	   -0.024639	   -0.017652	   -0.042291	    0.167685	    0.126104	    0.293790
