 [File Information]      		 [Data Line]	36
Measured Date	2024/05/21 113057
ID		Version	11.0
Name	tristan_12	[HeaderType]	11.0/11.0
Comment	
[Measurement Info.]
Holder Location	       0
Block Design	Off     
Pre.Rest Time	       0
Task Time	       0
Pos.Rest Time	       0
Loop	       0
Averaging	       1
Total Points	     815
[.INF File]
Filename	Cognitive1.INF
[Condition-1]
HV Switching	OFF
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 120.00, 70.00,120.00,100.00, 90.00, 70.00,120.00,120.00
 Gain(X1,X4,X16,X64)
 R1 ,R2 ,R3 ,R4 ,R5 ,R6 ,R7 ,R8 
 1,1,1,1,1,1,1,1
[Analysis Condition]
Smoothed Type	None            
Smoothed Points	       0
Smoothed Loop	       0
Baseline Method	None            
Baseline location	
[Text Info.]
Output Mode	Continious      	Task No.		Data Type	Hb      
Time Range	    0.00	   61.05	Averaing	1
(1,3)(5,3)(5,7)(2,7)(2,4)(6,4)(6,8)(1,1)(3,3)(5,5)(7,7)(2,2)(4,4)(6,6)(8,8)(3,1)(3,5)(7,5)(7,2)(4,2)(4,6)(8,6)
         	     	     	     	    ch- 1	    ch- 1	    ch- 1	    ch- 2	    ch- 2	    ch- 2	    ch- 3	    ch- 3	    ch- 3	    ch- 4	    ch- 4	    ch- 4	    ch- 5	    ch- 5	    ch- 5	    ch- 6	    ch- 6	    ch- 6	    ch- 7	    ch- 7	    ch- 7	    ch- 8	    ch- 8	    ch- 8	    ch- 9	    ch- 9	    ch- 9	    ch-10	    ch-10	    ch-10	    ch-11	    ch-11	    ch-11	    ch-12	    ch-12	    ch-12	    ch-13	    ch-13	    ch-13	    ch-14	    ch-14	    ch-14	    ch-15	    ch-15	    ch-15	    ch-16	    ch-16	    ch-16	    ch-17	    ch-17	    ch-17	    ch-18	    ch-18	    ch-18	    ch-19	    ch-19	    ch-19	    ch-20	    ch-20	    ch-20	    ch-21	    ch-21	    ch-21	    ch-22	    ch-22	    ch-22
Time(sec)	Task	Mark	Count	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb	    oxyHb   	  deoxyHb	  totalHb
     0.000	0	0Z	    0	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000	    0.000000
     0.075	0	0	    0	   -0.005350	    0.000962	   -0.004388	   -0.000873	   -0.002524	   -0.003397	   -0.000786	   -0.000568	   -0.001354	   -0.000701	    0.000209	   -0.000491	   -0.000901	    0.001128	    0.000227	   -0.000171	   -0.001678	   -0.001849	    0.004974	   -0.003915	    0.001059	    0.000568	    0.002498	    0.003065	   -0.001079	    0.000223	   -0.000857	   -0.000773	    0.000334	   -0.000439	   -0.000796	   -0.000493	   -0.001289	   -0.001903	    0.001749	   -0.000154	   -0.001269	    0.000368	   -0.000901	   -0.001706	    0.001134	   -0.000571	    0.000358	    0.002035	    0.002393	    0.000511	    0.000358	    0.000869	   -0.004363	    0.001413	   -0.002949	   -0.000991	   -0.000499	   -0.001490	   -0.000518	   -0.000109	   -0.000627	   -0.002283	    0.001175	   -0.001108	   -0.001605	    0.000730	   -0.000875	   -0.002292	   -0.002742	   -0.005034
     0.150	0	0	    0	   -0.006916	   -0.007041	   -0.013957	   -0.009769	   -0.003035	   -0.012804	   -0.003616	   -0.000884	   -0.004499	   -0.000589	   -0.000736	   -0.001324	   -0.000886	   -0.000267	   -0.001153	   -0.002271	   -0.001988	   -0.004259	    0.011866	    0.002071	    0.013938	    0.003946	    0.003954	    0.007900	    0.000868	   -0.000337	    0.000532	    0.001394	   -0.000010	    0.001384	   -0.000936	   -0.001487	   -0.002423	   -0.000657	   -0.001070	   -0.001727	   -0.002220	   -0.001059	   -0.003280	    0.005714	    0.001291	    0.007005	    0.012829	    0.007991	    0.020820	    0.003714	    0.004173	    0.007887	   -0.006770	   -0.004382	   -0.011153	   -0.000539	   -0.001957	   -0.002496	   -0.001731	   -0.003103	   -0.004834	   -0.000722	   -0.002061	   -0.002782	   -0.004331	   -0.000964	   -0.005296	   -0.002694	   -0.000670	   -0.003364
     0.225	0	0	    0	    0.005543	   -0.011355	   -0.005812	   -0.024489	   -0.011271	   -0.035759	   -0.007495	   -0.005271	   -0.012766	    0.000454	    0.001428	    0.001882	   -0.004288	   -0.001678	   -0.005966	   -0.014086	   -0.005687	   -0.019772	    0.052641	    0.025071	    0.077712	    0.007333	    0.049176	    0.056510	    0.013397	    0.001569	    0.014965	    0.000719	   -0.001032	   -0.000313	   -0.005012	   -0.002422	   -0.007434	   -0.001067	   -0.001259	   -0.002326	   -0.004937	   -0.003770	   -0.008707	    0.025108	    0.012667	    0.037775	    0.015687	    0.058652	    0.074339	    0.088619	    0.031301	    0.119920	   -0.022431	   -0.011384	   -0.033816	   -0.002807	   -0.000283	   -0.003090	   -0.011494	    0.000971	   -0.010523	   -0.000753	    0.000986	    0.000233	   -0.017982	   -0.007476	   -0.025458	    0.066618	    0.046231	    0.112849
     0.300	0	0	    0	    0.004784	    0.005439	    0.010223	   -0.031538	   -0.017521	   -0.049059	   -0.009813	   -0.005497	   -0.015310	   -0.000394	    0.000765	    0.000372	   -0.007259	   -0.003748	   -0.011007	   -0.023303	   -0.011044	   -0.034347	    0.069960	    0.047315	    0.117275	    0.031068	    0.081101	    0.112168	    0.020678	    0.015180	    0.035858	    0.003915	    0.003102	    0.007017	   -0.002005	   -0.001779	   -0.003784	   -0.001564	   -0.002139	   -0.003703	   -0.007000	   -0.002934	   -0.009934	    0.046227	    0.031902	    0.078129	    0.096717	    0.131581	    0.228298	    0.132990	    0.114499	    0.247489	   -0.025484	   -0.019414	   -0.044898	   -0.005069	   -0.003981	   -0.009050	   -0.019727	   -0.011067	   -0.030794	   -0.002887	   -0.003958	   -0.006846	   -0.018831	   -0.017899	   -0.036730	    0.124432	    0.103921	    0.228353
     0.375	0	0	    0	    0.013264	    0.011262	    0.024526	   -0.034751	   -0.020901	   -0.055652	   -0.010588	   -0.006210	   -0.016797	   -0.000809	    0.000811	    0.000002	   -0.010427	   -0.005703	   -0.016130	   -0.028817	   -0.014968	   -0.043785	    0.083111	    0.067246	    0.150357	    0.079184	    0.144761	    0.223945	    0.028146	    0.023679	    0.051826	    0.006397	    0.005558	    0.011955	    0.000551	   -0.000434	    0.000117	   -0.000721	   -0.002119	   -0.002840	   -0.009207	   -0.002442	   -0.011649	    0.051497	    0.044506	    0.096003	    0.114432	    0.148296	    0.262728	    0.169761	    0.184292	    0.354054	   -0.028824	   -0.023172	   -0.051996	   -0.007883	   -0.005207	   -0.013090	   -0.027640	   -0.017938	   -0.045578	   -0.003844	   -0.005210	   -0.009054	   -0.022110	   -0.019277	   -0.041387	    0.135731	    0.156047	    0.291778
     0.450	0	0	    0	    0.011223	    0.018916	    0.030139	   -0.036937	   -0.022105	   -0.059042	   -0.009821	   -0.004966	   -0.014787	   -0.000967	    0.002334	    0.001366	   -0.015059	   -0.006414	   -0.021472	   -0.032313	   -0.018372	   -0.050684	    0.081361	    0.071197	    0.152558	    0.081410	    0.154663	    0.236073	    0.026143	    0.024303	    0.050446	    0.006813	    0.008687	    0.015500	    0.006314	    0.005897	    0.012211	   -0.001408	   -0.000705	   -0.002113	   -0.012072	   -0.001981	   -0.014052	    0.047753	    0.045975	    0.093728	    0.116808	    0.147477	    0.264285	    0.174644	    0.204586	    0.379229	   -0.028540	   -0.022922	   -0.051461	   -0.010647	   -0.007815	   -0.018462	   -0.034746	   -0.022658	   -0.057404	   -0.004834	   -0.008183	   -0.013017	   -0.021373	   -0.019778	   -0.041152	    0.146520	    0.158403	    0.304923
     0.525	0	0	    0	    0.008621	    0.019542	    0.028163	   -0.039151	   -0.023240	   -0.062391	   -0.011700	   -0.005012	   -0.016712	   -0.002037	    0.004123	    0.002086	   -0.017088	   -0.008292	   -0.025380	   -0.037207	   -0.019838	   -0.057044	    0.076467	    0.069420	    0.145888	    0.079817	    0.153774	    0.233590	    0.023389	    0.023888	    0.047277	    0.007051	    0.009017	    0.016069	    0.003204	    0.008007	    0.011211	   -0.000600	    0.000292	   -0.000308	   -0.016638	   -0.002237	   -0.018875	    0.040992	    0.042079	    0.083071	    0.111724	    0.146081	    0.257805	    0.174545	    0.209595	    0.384141	   -0.029390	   -0.021836	   -0.051225	   -0.013077	   -0.008795	   -0.021873	   -0.036981	   -0.025315	   -0.062296	   -0.008258	   -0.008537	   -0.016795	   -0.025809	   -0.019687	   -0.045496	    0.137641	    0.159011	    0.296651
     0.600	0	0	    0	    0.006367	    0.018158	    0.024525	   -0.041878	   -0.024001	   -0.065879	   -0.013169	   -0.005854	   -0.019024	   -0.003116	    0.004055	    0.000938	   -0.020330	   -0.008229	   -0.028559	   -0.040926	   -0.020701	   -0.061627	    0.070588	    0.071492	    0.142080	    0.078360	    0.149770	    0.228130	    0.020243	    0.022630	    0.042873	    0.005207	    0.008986	    0.014194	    0.002981	    0.007465	    0.010445	   -0.003734	    0.001772	   -0.001961	   -0.020121	   -0.003449	   -0.023570	    0.042608	    0.039721	    0.082329	    0.107476	    0.144806	    0.252281	    0.173559	    0.209099	    0.382658	   -0.031131	   -0.021474	   -0.052605	   -0.015173	   -0.009590	   -0.024763	   -0.039097	   -0.026133	   -0.065230	   -0.011076	   -0.009270	   -0.020346	   -0.028789	   -0.019004	   -0.047792	    0.137404	    0.155850	    0.293254
